Query_ID,Precision,Recall,F1,Precision@5,Precision@10,R-Precision,Reciprocal Rank,DCG@20,nDCG@20,Average Precision,Interpolated AP
Query 1,0.03581800580832527,1.0,0.0691588785046729,1.0,0.9,0.7837837837837838,1.0,6.171411659778296,0.876587556750524,0.8233227233627421,0.8399560012832324
Query 2,0.015488867376573089,1.0,0.030505243088655862,0.6,0.5,0.5,1.0,3.8111329109469754,0.6241621064758013,0.5093381029252911,0.49821969461981835
Query 3,0.021297192642787996,1.0,0.04170616113744075,1.0,0.9,0.5,1.0,4.740587790828196,0.6733532776960689,0.5895002219367906,0.596258720220814
Query 4,0.022265246853823813,1.0,0.04356060606060606,0.4,0.5,0.43478260869565216,0.25,3.066125645913202,0.43551260826728433,0.3898349372698586,0.4360769248277075
Query 5,0.02516940948693127,1.0,0.04910292728989613,1.0,1.0,0.7692307692307693,1.0,6.05227697441567,0.8596656613198733,0.812354562008516,0.7861964897641709
Query 6,0.012584704743465635,1.0,0.024856596558317397,0.8,0.8,0.6923076923076923,1.0,4.274732666197778,0.7982112764124847,0.732020757020757,0.7460317460317459
Query 7,0.01452081316553727,1.0,0.028625954198473285,1.0,0.8,0.6,1.0,4.148287324662435,0.7077360576557027,0.6211009358282056,0.6134781881062832
Query 8,0.010648596321393998,1.0,0.021072796934865898,0.6,0.3,0.2727272727272727,1.0,3.122358587726668,0.6474561138632622,0.48591486616395146,0.49825855962219606
Query 9,0.027105517909002903,1.0,0.05278039585296889,0.6,0.5,0.4642857142857143,1.0,4.159468525271128,0.5908110741844612,0.43226830690913076,0.4441120629444116
Query 10,0.023233301064859633,1.0,0.04541154210028383,0.6,0.5,0.2916666666666667,1.0,3.0424142840333404,0.43214464548610076,0.25659848579054034,0.29731329365884335
Query 11,0.017424975798644726,1.0,0.03425309229305424,0.8,0.7,0.6111111111111112,1.0,4.453990060930539,0.6767727131181069,0.6428634092068,0.6525572281254101
Query 12,0.008712487899322363,1.0,0.01727447216890595,0.8,0.5,0.5555555555555556,1.0,3.130058839790463,0.7357063996982159,0.6156927151602776,0.596284280052517
Query 13,0.02032913843175218,1.0,0.03984819734345352,1.0,1.0,0.8571428571428571,1.0,6.521512969704251,0.9263159606882019,0.8867131974629588,0.8677806168190784
Query 14,0.015488867376573089,1.0,0.030505243088655862,1.0,0.7,0.5625,1.0,4.353947557975683,0.7130606942270146,0.6427463083574586,0.6553882906421182
Query 15,0.028073572120038724,1.0,0.054613935969868174,1.0,0.8,0.4827586206896552,1.0,5.3674105449912455,0.7623872065406667,0.5167423527947971,0.513908938291852
Query 16,0.012584704743465635,1.0,0.024856596558317397,0.6,0.8,0.6153846153846154,1.0,4.080365495280037,0.7619175290121517,0.6359178298465941,0.6775090353072004
Query 17,0.02032913843175218,1.0,0.03984819734345352,0.4,0.3,0.19047619047619047,1.0,2.0687422466999714,0.2938442307130852,0.16829240526185227,0.19014339345687092
Query 18,0.01452081316553727,1.0,0.028625954198473285,0.6,0.4,0.4666666666666667,0.5,3.5649130333771057,0.6082070258556775,0.43141679251991505,0.4694949242234706
Query 19,0.026137463697967087,1.0,0.0509433962264151,1.0,0.8,0.5185185185185185,1.0,4.910547586804476,0.6974943738526681,0.5383046236864268,0.5297092736875203
Query 20,0.0377541142303969,1.0,0.07276119402985073,0.2,0.1,0.1794871794871795,1.0,1.231378213159759,0.17490501020123428,0.1852701143932093,0.24547040405241194
Query 21,0.026137463697967087,1.0,0.0509433962264151,0.2,0.2,0.3333333333333333,0.25,1.964425291439892,0.27902704625348107,0.18779981299481577,0.20885480498503384
Query 22,0.02420135527589545,1.0,0.04725897920604914,0.4,0.4,0.32,1.0,2.8053613935003505,0.39847364351952186,0.27276883803702284,0.31521558957362045
Query 23,0.0377541142303969,1.0,0.07276119402985073,1.0,0.9,0.48717948717948717,1.0,6.200321854242096,0.8806939619179789,0.44984489554440227,0.44856759624431936
Query 24,0.021297192642787996,1.0,0.04170616113744075,1.0,0.8,0.7727272727272727,1.0,5.890861604876409,0.8367382158330352,0.8191783093459573,0.8202215176128219
Query 25,0.023233301064859633,1.0,0.04541154210028383,1.0,0.9,0.8333333333333334,1.0,6.258016378611385,0.8888888944460378,0.8512370258108893,0.8460193994953354
Query 26,0.027105517909002903,1.0,0.05278039585296889,0.0,0.3,0.25,0.14285714285714285,1.1944787479012695,0.16966380869345768,0.20871499080461667,0.2267343143406423
Query 27,0.017424975798644726,1.0,0.03425309229305424,1.0,0.7,0.5,1.0,4.33953651641648,0.6593817816640344,0.5941556831400697,0.5891465765506091
Query 28,0.0377541142303969,1.0,0.07276119402985073,1.0,0.8,0.48717948717948717,1.0,5.431852741977612,0.7715405787546901,0.5568745747585128,0.5532210031723171
Query 29,0.03581800580832527,1.0,0.0691588785046729,1.0,0.9,0.5945945945945946,1.0,6.4945878441413045,0.9224915147860998,0.686088892565494,0.672033933421738
Query 30,0.013552758954501452,1.0,0.02674307545367717,0.6,0.5,0.42857142857142855,1.0,3.2535165299659217,0.5798101509864543,0.3795030270139192,0.412145207733443
