Query_ID,Precision,Recall,F1,Precision@5,Precision@10,R-Precision,Reciprocal Rank,DCG@20,nDCG@20,Average Precision,Interpolated AP
Query 1,0.03581800580832527,1.0,0.0691588785046729,1.0,1.0,0.8918918918918919,1.0,6.777618846886318,0.9626932496335553,0.9629406604373717,0.9684875361150305
Query 2,0.015488867376573089,1.0,0.030505243088655862,0.8,0.5,0.5625,1.0,4.402607509556063,0.7210298988150209,0.6007030480135034,0.6023293893264153
Query 3,0.021297192642787996,1.0,0.04170616113744075,0.8,0.8,0.5,1.0,4.596599003307674,0.6529011046098516,0.5608603816480456,0.5829983475831318
Query 4,0.022265246853823813,1.0,0.04356060606060606,0.6,0.6,0.6521739130434783,0.5,4.298462527651974,0.6105537877914772,0.5393187743462068,0.5666124529694001
Query 5,0.02516940948693127,1.0,0.04910292728989613,1.0,1.0,0.7307692307692307,1.0,5.846756911380442,0.8304735834208378,0.8061134843241813,0.7723504867575887
Query 6,0.012584704743465635,1.0,0.024856596558317397,0.8,0.8,0.6153846153846154,1.0,4.5124243898957515,0.8425949207198605,0.7354578170367644,0.7443464031980778
Query 7,0.01452081316553727,1.0,0.028625954198473285,1.0,0.7,0.5333333333333333,1.0,4.085098070481757,0.6969553883963291,0.5857852406838083,0.5940769795027916
Query 8,0.010648596321393998,1.0,0.021072796934865898,0.2,0.2,0.18181818181818182,0.3333333333333333,1.8646272135231625,0.3866513904638919,0.29107334222423736,0.31679928674813584
Query 9,0.027105517909002903,1.0,0.05278039585296889,1.0,1.0,0.8214285714285714,1.0,5.85599854013203,0.831786264734993,0.7936225524754029,0.775330666390269
Query 10,0.023233301064859633,1.0,0.04541154210028383,0.4,0.5,0.3333333333333333,1.0,2.795284718697703,0.39704235223117834,0.20101789303827078,0.2516667359155114
Query 11,0.017424975798644726,1.0,0.03425309229305424,0.8,0.7,0.7222222222222222,0.5,4.437771167829513,0.6743082926462164,0.6515188289625395,0.6890920541536875
Query 12,0.008712487899322363,1.0,0.01727447216890595,0.8,0.6,0.5555555555555556,1.0,3.681912874420345,0.865417234464397,0.7017235213060262,0.6666731214444932
Query 13,0.02032913843175218,1.0,0.03984819734345352,1.0,0.9,0.7619047619047619,1.0,6.025942576712939,0.8559251224264489,0.8622573885653197,0.8411454765969816
Query 14,0.015488867376573089,1.0,0.030505243088655862,1.0,0.9,0.75,1.0,5.447970919703397,0.8922325945373704,0.8671683893115529,0.8700159489633172
Query 15,0.028073572120038724,1.0,0.054613935969868174,1.0,1.0,0.5517241379310345,1.0,5.58007667613637,0.7925943122372567,0.6695442470950816,0.6590713411025234
Query 16,0.012584704743465635,1.0,0.024856596558317397,0.6,0.5,0.6153846153846154,1.0,4.065213285946626,0.759088190829643,0.6148274980665467,0.6560762680860527
Query 17,0.02032913843175218,1.0,0.03984819734345352,0.6,0.6,0.7142857142857143,1.0,4.880822414964779,0.6932722092664402,0.5756495048439184,0.6259223183731424
Query 18,0.01452081316553727,1.0,0.028625954198473285,0.6,0.4,0.5333333333333333,0.5,3.2838175889992804,0.5602495518286997,0.41747874961644393,0.4631244972648083
Query 19,0.026137463697967087,1.0,0.0509433962264151,1.0,0.8,0.5555555555555556,1.0,4.905686134463645,0.6968038529694992,0.591200673582197,0.5833610856780876
Query 20,0.0377541142303969,1.0,0.07276119402985073,1.0,0.9,0.6666666666666666,1.0,5.747337127671536,0.8163519934024551,0.7120539644408178,0.6932460628658101
Query 21,0.026137463697967087,1.0,0.0509433962264151,0.6,0.4,0.48148148148148145,0.3333333333333333,3.3427452972995226,0.4748036745136458,0.27370675726862925,0.3156144091671832
Query 22,0.02420135527589545,1.0,0.04725897920604914,0.8,0.7,0.44,1.0,4.053026998116218,0.5756921154487107,0.5032921475066003,0.5176412983050739
Query 23,0.0377541142303969,1.0,0.07276119402985073,0.8,0.9,0.48717948717948717,0.5,5.545617839805286,0.7876997777590599,0.4171619779055017,0.4378362223550507
Query 24,0.021297192642787996,1.0,0.04170616113744075,1.0,0.9,0.7272727272727273,1.0,5.75555437700606,0.8175191718236106,0.851936654693572,0.8629653679653679
Query 25,0.023233301064859633,1.0,0.04541154210028383,1.0,1.0,0.875,1.0,6.5343103571136965,0.9281337021030469,0.8784232676531859,0.8712412587412589
Query 26,0.027105517909002903,1.0,0.05278039585296889,0.4,0.7,0.6785714285714286,1.0,4.277411935065906,0.6075637607862401,0.5655360726021446,0.6385541228916606
Query 27,0.017424975798644726,1.0,0.03425309229305424,1.0,0.7,0.6666666666666666,1.0,5.040626669571433,0.7659106868928748,0.6820797953216341,0.6748676227010976
Query 28,0.0377541142303969,1.0,0.07276119402985073,1.0,0.9,0.6410256410256411,1.0,6.265755043281071,0.8899880946824315,0.6885823891654989,0.6724118405169146
Query 29,0.03581800580832527,1.0,0.0691588785046729,1.0,0.9,0.6756756756756757,1.0,5.755766318264377,0.8175492759683419,0.7063110861465146,0.6891279130226499
Query 30,0.013552758954501452,1.0,0.02674307545367717,0.6,0.8,0.6428571428571429,1.0,3.91266455566362,0.6972771172004568,0.5264753271297088,0.5538009609438181
