Query_ID,Precision,Recall,F1,Precision@5,Precision@10,R-Precision,Reciprocal Rank,DCG@20,nDCG@20,Average Precision,Interpolated AP
Query 1,0.03581800580832527,1.0,0.0691588785046729,0.8,0.9,0.5135135135135135,1.0,5.700290166495342,0.8096694411723454,0.7249985954494926,0.7801604525742456
Query 2,0.015488867376573089,1.0,0.030505243088655862,0.6,0.5,0.3125,1.0,2.9502217075766133,0.48316777152600177,0.44258456938200486,0.4809672258025927
Query 3,0.021297192642787996,1.0,0.04170616113744075,0.8,0.8,0.45454545454545453,1.0,4.346599003307674,0.6173910947014373,0.5362226602862581,0.5553358484587761
Query 4,0.022265246853823813,1.0,0.04356060606060606,0.0,0.4,0.5217391304347826,0.16666666666666666,3.00549766490303,0.4269010074416909,0.356902020760174,0.42547572246061843
Query 5,0.02516940948693127,1.0,0.04910292728989613,1.0,0.9,0.6923076923076923,1.0,5.993508314082003,0.8513181584768623,0.7688130360477479,0.7496299123253825
Query 6,0.012584704743465635,1.0,0.024856596558317397,0.8,0.6,0.6923076923076923,1.0,4.254562629729636,0.7944449705843258,0.7026511522665371,0.7062925962925963
Query 7,0.01452081316553727,1.0,0.028625954198473285,1.0,0.6,0.4666666666666667,1.0,4.0128950688808604,0.6846368907358313,0.5685866753563638,0.5695441375990602
Query 8,0.010648596321393998,1.0,0.021072796934865898,0.2,0.3,0.2727272727272727,0.2,1.478569059619021,0.30659789723780195,0.23283837288292863,0.2722823181660954
Query 9,0.027105517909002903,1.0,0.05278039585296889,0.6,0.4,0.5,1.0,3.6574860043065764,0.5195094570112531,0.36449219534472405,0.4098432430864468
Query 10,0.023233301064859633,1.0,0.04541154210028383,0.4,0.2,0.25,1.0,2.381091958106559,0.3382103961008383,0.165981260417151,0.20706402679667332
Query 11,0.017424975798644726,1.0,0.03425309229305424,0.8,0.7,0.3888888888888889,0.5,2.871887274194595,0.4363761292094073,0.4796883504563472,0.5224303590998293
Query 12,0.008712487899322363,1.0,0.01727447216890595,0.8,0.5,0.5555555555555556,1.0,3.112636307308832,0.7316113109788793,0.6131579716293654,0.596615401386773
Query 13,0.02032913843175218,1.0,0.03984819734345352,1.0,0.9,0.8571428571428571,1.0,6.493425291978023,0.9223263858307512,0.862185434510903,0.840983802522264
Query 14,0.015488867376573089,1.0,0.030505243088655862,1.0,0.7,0.5625,1.0,4.530514307315368,0.7419776270069997,0.615750726243157,0.611472919390808
Query 15,0.028073572120038724,1.0,0.054613935969868174,1.0,0.9,0.4827586206896552,1.0,5.322283171695917,0.7559773126492353,0.5319524861720176,0.5292754692748338
Query 16,0.012584704743465635,1.0,0.024856596558317397,0.6,0.6,0.46153846153846156,1.0,3.9893810809707784,0.7449282126851421,0.5591217724415098,0.5796156894748444
Query 17,0.02032913843175218,1.0,0.03984819734345352,0.4,0.2,0.14285714285714285,0.5,1.3623079667312168,0.19350227758774913,0.1052591918554387,0.11942933458379366
Query 18,0.01452081316553727,1.0,0.028625954198473285,0.6,0.3,0.4666666666666667,0.5,2.516247778804851,0.42929506653717114,0.3699848801724467,0.420937925666472
Query 19,0.026137463697967087,1.0,0.0509433962264151,1.0,0.7,0.48148148148148145,1.0,4.413962824969819,0.6269594546002031,0.5049595933884474,0.5093238611562007
Query 20,0.0377541142303969,1.0,0.07276119402985073,0.4,0.2,0.20512820512820512,0.3333333333333333,1.926943467778698,0.2737031265351033,0.17435255642489925,0.1931010250322193
Query 21,0.026137463697967087,1.0,0.0509433962264151,0.2,0.1,0.25925925925925924,0.25,1.1812851250014347,0.1677897859738536,0.14734608712472347,0.16625840444945852
Query 22,0.02420135527589545,1.0,0.04725897920604914,0.2,0.4,0.36,0.5,1.8595351003307008,0.26412843935114966,0.21933473810758156,0.2329321484600776
Query 23,0.0377541142303969,1.0,0.07276119402985073,0.8,0.9,0.48717948717948717,0.5,5.545617839805286,0.7876997777590599,0.4171619779055017,0.4378362223550507
Query 24,0.021297192642787996,1.0,0.04170616113744075,1.0,0.9,0.7272727272727273,1.0,5.509193157767898,0.7825260144788259,0.8099033430918458,0.813550086277359
Query 25,0.023233301064859633,1.0,0.04541154210028383,1.0,1.0,0.7916666666666666,1.0,6.285567218809835,0.892802216879766,0.8495437319059649,0.8422647527910687
Query 26,0.027105517909002903,1.0,0.05278039585296889,0.0,0.1,0.07142857142857142,0.1111111111111111,0.3010299956639812,0.04275831251503158,0.1397886118278125,0.19177054001222799
Query 27,0.017424975798644726,1.0,0.03425309229305424,0.8,0.6,0.6111111111111112,1.0,4.464364976119107,0.6783491556796044,0.5445514784578288,0.564031020509533
Query 28,0.0377541142303969,1.0,0.07276119402985073,0.8,0.7,0.41025641025641024,1.0,4.990394064849196,0.7088357707587479,0.4718149140004478,0.5094130409375334
Query 29,0.03581800580832527,1.0,0.0691588785046729,1.0,0.9,0.43243243243243246,1.0,5.476954284554946,0.7779468036499138,0.5205967471265824,0.5240144591416604
Query 30,0.013552758954501452,1.0,0.02674307545367717,0.8,0.5,0.35714285714285715,0.5,2.5546663059874146,0.4552678441778456,0.33078938070676067,0.3874251093259358
