Query_ID,Precision,Recall,F1,Precision@5,Precision@10,R-Precision,Reciprocal Rank,DCG@20,nDCG@20,Average Precision,Interpolated AP
Query 1,0.03581800580832527,1.0,0.0691588785046729,1.0,1.0,0.9459459459459459,1.0,7.040268381923512,1.0,0.9885850337428149,0.9877434393563427
Query 2,0.015488867376573089,1.0,0.030505243088655862,0.8,0.6,0.375,1.0,3.4294067374905883,0.5616455220142313,0.47172518997734925,0.4828440451880951
Query 3,0.021297192642787996,1.0,0.04170616113744075,0.8,0.9,0.5,0.5,4.030895576057921,0.5725485673824009,0.5192619212608793,0.5750562520955955
Query 4,0.022265246853823813,1.0,0.04356060606060606,1.0,0.6,0.34782608695652173,1.0,3.5520306066400456,0.5045305681471158,0.4534507827252175,0.4805782379586858
Query 5,0.02516940948693127,1.0,0.04910292728989613,1.0,0.9,0.7307692307692307,1.0,6.480152963019557,0.9204411836994597,0.7780049655954057,0.7589426883013434
Query 6,0.012584704743465635,1.0,0.024856596558317397,0.8,0.7,0.6923076923076923,1.0,4.727147488136578,0.882689684932216,0.7560814185814185,0.768939393939394
Query 7,0.01452081316553727,1.0,0.028625954198473285,1.0,0.8,0.5333333333333333,1.0,3.8863221553163427,0.6630423848973435,0.5995403435183904,0.6016925390012593
Query 8,0.010648596321393998,1.0,0.021072796934865898,0.4,0.5,0.45454545454545453,1.0,3.085694391980049,0.6398533811760755,0.49861965016229987,0.4997588618278273
Query 9,0.027105517909002903,1.0,0.05278039585296889,0.8,0.8,0.7857142857142857,1.0,5.99713325644083,0.8518330454331798,0.7246258746520027,0.7333444099006944
Query 10,0.023233301064859633,1.0,0.04541154210028383,0.6,0.4,0.25,1.0,2.9216109474764242,0.4149857347736784,0.2312929301225184,0.2764445896407336
Query 11,0.017424975798644726,1.0,0.03425309229305424,0.6,0.6,0.4444444444444444,1.0,3.37444356333782,0.5127383075360851,0.5197299439823874,0.5366744029589654
Query 12,0.008712487899322363,1.0,0.01727447216890595,0.6,0.5,0.4444444444444444,1.0,3.2304718128401166,0.7593080221170138,0.5725342193226066,0.5651050148630176
Query 13,0.02032913843175218,1.0,0.03984819734345352,1.0,0.9,0.8095238095238095,1.0,6.228917227448641,0.8847556498615758,0.8537168822306958,0.8408866774251389
Query 14,0.015488867376573089,1.0,0.030505243088655862,1.0,1.0,0.75,1.0,5.298260501202023,0.8677140137487583,0.8766929271708683,0.8695569136745608
Query 15,0.028073572120038724,1.0,0.054613935969868174,0.6,0.8,0.6206896551724138,0.5,4.6408443555310726,0.6591857161932684,0.5575458714124624,0.5766679376464884
Query 16,0.012584704743465635,1.0,0.024856596558317397,0.8,0.5,0.46153846153846156,1.0,3.6269793873870566,0.6772577544370929,0.5262900717934655,0.5495695592286501
Query 17,0.02032913843175218,1.0,0.03984819734345352,0.6,0.8,0.7142857142857143,0.5,4.896512661786528,0.6955008525468633,0.5891216077778028,0.653348046198145
Query 18,0.01452081316553727,1.0,0.028625954198473285,0.4,0.5,0.6,1.0,3.900376060169755,0.6654401106181461,0.48309968132371334,0.5404905952191416
Query 19,0.026137463697967087,1.0,0.0509433962264151,0.6,0.7,0.6666666666666666,1.0,5.1787024893685745,0.7355831068408321,0.5922180744157436,0.6113315096829802
Query 20,0.0377541142303969,1.0,0.07276119402985073,0.8,0.9,0.6923076923076923,1.0,6.069077702195621,0.8620520373596118,0.7312886444054766,0.7198622158100475
Query 21,0.026137463697967087,1.0,0.0509433962264151,0.6,0.6,0.4074074074074074,0.5,3.6572163909390873,0.5194711611178491,0.32181182656322777,0.3658435705675277
Query 22,0.02420135527589545,1.0,0.04725897920604914,0.6,0.6,0.56,1.0,3.9142706102357856,0.555983152614751,0.43856794783561953,0.44837875135995636
Query 23,0.0377541142303969,1.0,0.07276119402985073,1.0,0.9,0.48717948717948717,1.0,5.671489975657592,0.8055786609242945,0.4267714748574819,0.4220524447291678
Query 24,0.021297192642787996,1.0,0.04170616113744075,1.0,0.9,0.8181818181818182,1.0,5.919172498269944,0.8407594962527172,0.859003521616981,0.8756812484977728
Query 25,0.023233301064859633,1.0,0.04541154210028383,0.8,0.8,0.7916666666666666,1.0,5.83791572675651,0.829217781206446,0.7564957702956141,0.7811773780445596
Query 26,0.027105517909002903,1.0,0.05278039585296889,0.8,0.8,0.75,1.0,5.599462051825537,0.7953478117684593,0.6928976158691617,0.7027358810147356
Query 27,0.017424975798644726,1.0,0.03425309229305424,0.8,0.7,0.6666666666666666,1.0,4.74928315026902,0.7216417636778827,0.6555405601942049,0.6516029738425348
Query 28,0.0377541142303969,1.0,0.07276119402985073,1.0,0.9,0.5897435897435898,1.0,6.002213105305813,0.8525545873672951,0.6877248140355593,0.6782145036868502
Query 29,0.03581800580832527,1.0,0.0691588785046729,1.0,0.9,0.7567567567567568,1.0,6.220982032751899,0.8836285344923498,0.7877079010586414,0.7814031221269858
Query 30,0.013552758954501452,1.0,0.02674307545367717,0.8,0.6,0.5714285714285714,0.5,3.1388498096867785,0.5593753605725055,0.4182128187621365,0.4489571468753773
