Query_ID,Precision,Recall,F1,Precision@5,Precision@10,R-Precision,Reciprocal Rank,DCG@20,nDCG@20,Average Precision,Interpolated AP
Query 1,0.03581800580832527,1.0,0.0691588785046729,1.0,1.0,0.918918918918919,1.0,7.040268381923512,1.0,0.9774443543127412,0.9775659824046922
Query 2,0.015488867376573089,1.0,0.030505243088655862,0.6,0.6,0.5,1.0,3.634417149704125,0.595220769513243,0.4578757739146138,0.48050718726980174
Query 3,0.021297192642787996,1.0,0.04170616113744075,0.8,0.5,0.6363636363636364,0.5,4.060008411646128,0.5766837557031981,0.5760995379528606,0.6211516553621818
Query 4,0.022265246853823813,1.0,0.04356060606060606,0.2,0.2,0.17391304347826086,0.2,1.2617786212561983,0.17922308537213189,0.20808159876636256,0.22316284748488205
Query 5,0.02516940948693127,1.0,0.04910292728989613,1.0,1.0,0.7307692307692307,1.0,5.793234154079257,0.8228712088524748,0.7896069803473998,0.764250981479533
Query 6,0.012584704743465635,1.0,0.024856596558317397,0.6,0.5,0.6153846153846154,1.0,4.459146054608696,0.8326463762527654,0.6628785995301834,0.7196969696969697
Query 7,0.01452081316553727,1.0,0.028625954198473285,0.8,0.7,0.4666666666666667,1.0,3.5666117088719353,0.6084968355539595,0.5809436076476138,0.5794509849027658
Query 8,0.010648596321393998,1.0,0.021072796934865898,0.6,0.5,0.45454545454545453,1.0,2.905214917485535,0.60242893555102,0.42377788427236124,0.44160498321401126
Query 9,0.027105517909002903,1.0,0.05278039585296889,0.8,0.8,0.5,1.0,4.146345807809609,0.5889471228761256,0.5357961267204356,0.5634294947745971
Query 10,0.023233301064859633,1.0,0.04541154210028383,0.6,0.6,0.5416666666666666,0.5,3.6273221840173875,0.5152249867818741,0.48857382003739674,0.5137630591898037
Query 11,0.017424975798644726,1.0,0.03425309229305424,0.8,0.8,0.5555555555555556,1.0,4.593080683082341,0.6979071872492177,0.6460971624976292,0.6520467847659589
Query 12,0.008712487899322363,1.0,0.01727447216890595,0.4,0.4,0.4444444444444444,1.0,2.11649487244971,0.49747270012788325,0.3333170227433494,0.3718084195281497
Query 13,0.02032913843175218,1.0,0.03984819734345352,0.8,0.9,0.9047619047619048,1.0,6.330648878198989,0.8992056175661526,0.8804720296916156,0.9045587843241801
Query 14,0.015488867376573089,1.0,0.030505243088655862,1.0,0.8,0.6875,1.0,4.711965436099581,0.7716944911024649,0.7637588684463684,0.7443034238488785
Query 15,0.028073572120038724,1.0,0.054613935969868174,0.6,0.5,0.5862068965517241,0.5,3.651504859979081,0.518659895033921,0.5125975871047953,0.5271315373318265
Query 16,0.012584704743465635,1.0,0.024856596558317397,0.2,0.1,0.15384615384615385,0.25,1.6878983193495176,0.3151774805933866,0.236861710461409,0.2634902801429823
Query 17,0.02032913843175218,1.0,0.03984819734345352,0.2,0.3,0.19047619047619047,0.5,1.4854594566750743,0.2109947201003186,0.19617099115453446,0.21308890456778887
Query 18,0.01452081316553727,1.0,0.028625954198473285,0.4,0.6,0.6,1.0,3.7137349214809685,0.6335974118478236,0.4898890360626004,0.5322133612751476
Query 19,0.026137463697967087,1.0,0.0509433962264151,0.6,0.7,0.5185185185185185,1.0,4.701903377513896,0.667858542095701,0.5231131406068797,0.5497947191421423
Query 20,0.0377541142303969,1.0,0.07276119402985073,0.4,0.5,0.38461538461538464,1.0,3.621725949354904,0.5144300973886157,0.4008157233044282,0.4383917463848166
Query 21,0.026137463697967087,1.0,0.0509433962264151,0.6,0.6,0.5185185185185185,1.0,4.531482862266297,0.6436520053555437,0.5092106633403829,0.5337063665867446
Query 22,0.02420135527589545,1.0,0.04725897920604914,0.4,0.4,0.32,1.0,3.2921682709067186,0.46761971168025934,0.3680534733486079,0.388954941598942
Query 23,0.0377541142303969,1.0,0.07276119402985073,0.6,0.8,0.6666666666666666,1.0,5.393750602004002,0.7661285492827115,0.6409396041813934,0.6540224570419938
Query 24,0.021297192642787996,1.0,0.04170616113744075,1.0,0.8,0.8181818181818182,1.0,5.910570145116871,0.839537617669912,0.8557459334013146,0.8664861783984041
Query 25,0.023233301064859633,1.0,0.04541154210028383,1.0,1.0,0.75,1.0,6.265554944894435,0.8899596726996631,0.7869157681897135,0.7658806879395115
Query 26,0.027105517909002903,1.0,0.05278039585296889,0.6,0.6,0.42857142857142855,1.0,3.9295827556452076,0.5581580903555816,0.3751111296784085,0.38629966182879305
Query 27,0.017424975798644726,1.0,0.03425309229305424,0.4,0.7,0.5,1.0,3.636692699897277,0.5525864116481864,0.479534738182194,0.5178011619052202
Query 28,0.0377541142303969,1.0,0.07276119402985073,1.0,1.0,0.6410256410256411,1.0,5.83007667613637,0.8281043221456711,0.7476297122424632,0.7453125448242882
Query 29,0.03581800580832527,1.0,0.0691588785046729,0.8,0.9,0.6756756756756757,0.5,5.7843103571136965,0.8216036723778039,0.6618189492862403,0.6907730313343255
Query 30,0.013552758954501452,1.0,0.02674307545367717,0.4,0.2,0.14285714285714285,1.0,1.6309297535714575,0.2906484777184987,0.18600354568049338,0.22310711242973652
