Query,Rank,Document_ID,Log_Score
Query 1,1,doc_13,5.466239098067787
Query 1,2,doc_171,5.4273817438193515
Query 1,3,doc_72,5.417810636036094
Query 1,4,doc_506,5.1195021824970155
Query 1,5,doc_500,5.111264698944349
Query 1,6,doc_509,5.085938825939462
Query 1,7,doc_511,5.042485165104926
Query 1,8,doc_180,4.778999168340229
Query 1,9,doc_181,4.769418074132956
Query 1,10,doc_510,4.3851942508898025
Query 1,11,doc_184,4.327996293206968
Query 1,12,doc_507,4.1116419538595785
Query 1,13,doc_360,4.041553642257269
Query 1,14,doc_502,3.9983336560965737
Query 1,15,doc_965,3.982995385724188
Query 1,16,doc_168,3.884419716103014
Query 1,17,doc_501,3.8400423734812548
Query 1,18,doc_503,3.8400423734812548
Query 1,19,doc_138,3.6690189653888012
Query 1,20,doc_504,3.4184460488348525
Query 1,21,doc_508,3.1654306307495945
Query 1,22,doc_206,3.060272506502587
Query 1,23,doc_645,2.8808152196368515
Query 1,24,doc_838,2.8542639962174094
Query 1,25,doc_513,2.6516340438700956
Query 1,26,doc_166,2.64230133201518
Query 1,27,doc_182,2.6298693535821016
Query 1,28,doc_727,2.5681723661713627
Query 1,29,doc_15,2.5612901483573274
Query 1,30,doc_403,2.5269042177962717
Query 1,31,doc_212,2.501548436502716
Query 1,32,doc_170,2.4340378398303777
Query 1,33,doc_167,2.4067270576915902
Query 1,34,doc_499,2.3721941195668452
Query 1,35,doc_79,2.3712519880321277
Query 1,36,doc_169,2.303349414156019
Query 1,37,doc_185,2.286101418478752
Query 1,38,doc_164,2.278877899366987
Query 1,39,doc_125,2.258379022734422
Query 1,40,doc_127,2.2421239809866367
Query 1,41,doc_512,2.2051107083366963
Query 1,42,doc_41,2.1563154831202063
Query 1,43,doc_142,2.149857183439204
Query 1,44,doc_172,2.149857183439204
Query 1,45,doc_186,2.1379881023285545
Query 1,46,doc_211,2.1273857676414427
Query 1,47,doc_231,2.105717833675679
Query 1,48,doc_542,2.0676328995021422
Query 1,49,doc_175,2.060159836595729
Query 1,50,doc_165,2.060015335806312
Query 1,51,doc_14,2.0469097073432625
Query 1,52,doc_183,2.0339697783259973
Query 1,53,doc_259,1.952775300141308
Query 1,54,doc_336,1.938915182264043
Query 1,55,doc_637,1.7074352636593055
Query 1,56,doc_986,1.6281044859745082
Query 1,57,doc_177,1.626874398904692
Query 1,58,doc_401,1.5951085091818265
Query 1,59,doc_213,1.5664211136202952
Query 1,60,doc_58,1.5646791801625588
Query 1,61,doc_99,1.5592925132314808
Query 1,62,doc_570,1.5373370838476006
Query 1,63,doc_899,1.533506058750181
Query 1,64,doc_469,1.5274907541085767
Query 1,65,doc_763,1.5224486261038164
Query 1,66,doc_256,1.516979492652985
Query 1,67,doc_65,1.504474526518753
Query 1,68,doc_540,1.4954903309067817
Query 1,69,doc_9,1.4922783447955057
Query 1,70,doc_11,1.4902128329644997
Query 1,71,doc_835,1.485602390579943
Query 1,72,doc_173,1.4797687978220937
Query 1,73,doc_896,1.4727881897343418
Query 1,74,doc_174,1.464374375195472
Query 1,75,doc_640,1.462112479196214
Query 1,76,doc_870,1.4612945214798532
Query 1,77,doc_873,1.4612945214798532
Query 1,78,doc_642,1.454288148029622
Query 1,79,doc_869,1.4462801348145515
Query 1,80,doc_541,1.444339912992254
Query 1,81,doc_505,1.4402105425549387
Query 1,82,doc_156,1.4236682606206608
Query 1,83,doc_374,1.4236682606206608
Query 1,84,doc_112,1.4073316187214766
Query 1,85,doc_549,1.4024313382587512
Query 1,86,doc_178,1.3960751677394445
Query 1,87,doc_876,1.360575285791749
Query 1,88,doc_383,1.3558390391900588
Query 1,89,doc_163,1.3557363905195068
Query 1,90,doc_654,1.3557363905195068
Query 1,91,doc_913,1.3410138940657557
Query 1,92,doc_209,1.3305661659404775
Query 1,93,doc_464,1.3242917741178553
Query 1,94,doc_215,1.323859598444269
Query 1,95,doc_758,1.2911206998806815
Query 1,96,doc_130,1.28753184172468
Query 1,97,doc_404,1.28753184172468
Query 1,98,doc_578,1.2758616236426372
Query 1,99,doc_262,1.2654056013837371
Query 1,100,doc_685,1.2654056013837371
Query 1,101,doc_333,1.2644010634641585
Query 1,102,doc_584,1.2644010634641585
Query 1,103,doc_900,1.2644010634641585
Query 1,104,doc_603,1.2531445616655559
Query 1,105,doc_220,1.237883634196192
Query 1,106,doc_445,1.231222314682106
Query 1,107,doc_454,1.2289737701077468
Query 1,108,doc_700,1.2156545154875888
Query 1,109,doc_744,1.202997473883415
Query 1,110,doc_849,1.202997473883415
Query 1,111,doc_158,1.1946491681228082
Query 1,112,doc_229,1.1862815216735532
Query 1,113,doc_442,1.1862815216735532
