Query,Rank,Document_ID,Log_Score
Query 1,1,doc_13,-31.62264227645263
Query 1,2,doc_171,-31.72404392020706
Query 1,3,doc_72,-32.10763163869925
Query 1,4,doc_180,-32.19842648560623
Query 1,5,doc_506,-32.847277395100875
Query 1,6,doc_511,-33.032252686148155
Query 1,7,doc_184,-33.04708526134684
Query 1,8,doc_181,-33.25214622504438
Query 1,9,doc_360,-33.46980818637941
Query 1,10,doc_509,-33.6707646204334
Query 1,11,doc_138,-33.696477286935355
Query 1,12,doc_838,-33.71535510654003
Query 1,13,doc_500,-33.75247415084639
Query 1,14,doc_645,-33.95102314071272
Query 1,15,doc_501,-34.43362734363261
Query 1,16,doc_503,-34.79299420825899
Query 1,17,doc_168,-34.931163258691306
Query 1,18,doc_507,-35.007551755889295
Query 1,19,doc_127,-35.51389288499463
Query 1,20,doc_510,-35.626900410512306
Query 1,21,doc_125,-35.63026457517242
Query 1,22,doc_231,-35.687450253984856
Query 1,23,doc_403,-35.881299345062864
Query 1,24,doc_504,-36.218265089218335
Query 1,25,doc_185,-36.46972812250306
Query 1,26,doc_896,-36.486424080663696
Query 1,27,doc_986,-36.7551956725423
Query 1,28,doc_835,-36.81475828617774
Query 1,29,doc_206,-36.92343940121438
Query 1,30,doc_167,-36.969303579757614
Query 1,31,doc_156,-37.047591530104405
Query 1,32,doc_170,-37.104564978337635
Query 1,33,doc_508,-37.15657751692179
Query 1,34,doc_965,-37.15667666302078
Query 1,35,doc_727,-37.17091112332535
Query 1,36,doc_502,-37.23105659751283
Query 1,37,doc_79,-37.30083424458854
Query 1,38,doc_374,-37.48305642858894
Query 1,39,doc_186,-37.50378825556685
Query 1,40,doc_464,-37.55208451780893
Query 1,41,doc_9,-37.60545542929115
Query 1,42,doc_606,-37.73232933570168
Query 1,43,doc_175,-37.74212226313581
Query 1,44,doc_870,-37.74845421299614
Query 1,45,doc_169,-37.789411920619585
Query 1,46,doc_875,-37.81241378128581
Query 1,47,doc_873,-37.81844863399286
Query 1,48,doc_685,-37.81904436028352
Query 1,49,doc_211,-37.95031169084683
Query 1,50,doc_869,-37.95556479967328
Query 1,51,doc_336,-38.09547874258265
Query 1,52,doc_220,-38.133869351819925
Query 1,53,doc_182,-38.23447615190124
Query 1,54,doc_516,-38.267718718743694
Query 1,55,doc_383,-38.313668462191806
Query 1,56,doc_164,-38.339807714312066
Query 1,57,doc_178,-38.345699987811486
Query 1,58,doc_513,-38.359474011705345
Query 1,59,doc_262,-38.37219285888739
Query 1,60,doc_21,-38.46162273933117
Query 1,61,doc_979,-38.46162273933117
Query 1,62,doc_763,-38.54010908102608
