Query,Rank,Document_ID,Log_Score
Query 1,1,doc_13,9.81911821288267
Query 1,2,doc_72,8.323399841562331
Query 1,3,doc_171,7.517370930609181
Query 1,4,doc_184,7.261620984960628
Query 1,5,doc_181,6.405277477761673
Query 1,6,doc_506,6.2293941217138595
Query 1,7,doc_511,6.224250811195191
Query 1,8,doc_142,5.982873485281351
Query 1,9,doc_15,5.982873485281351
Query 1,10,doc_166,5.982873485281351
Query 1,11,doc_167,5.982873485281351
Query 1,12,doc_169,5.982873485281351
Query 1,13,doc_170,5.982873485281351
Query 1,14,doc_79,5.982873485281351
Query 1,15,doc_507,5.331963098921657
Query 1,16,doc_212,5.318109764694534
Query 1,17,doc_500,5.304265249941206
Query 1,18,doc_172,4.786298788225081
Query 1,19,doc_510,4.694896676386029
Query 1,20,doc_164,4.4871551139610135
Query 1,21,doc_513,4.188011439696946
Query 1,22,doc_185,3.9885823235209004
Query 1,23,doc_186,3.9885823235209004
Query 1,24,doc_182,3.7392980375904767
Query 1,25,doc_14,3.5897240911688106
Query 1,26,doc_501,3.413840735120997
Query 1,27,doc_508,3.413840735120997
Query 1,28,doc_502,3.2836595492744527
Query 1,29,doc_180,3.1415818390704087
Query 1,30,doc_509,3.034525593121661
Query 1,31,doc_211,2.9914367426406754
Query 1,32,doc_512,2.9914367426406754
Query 1,33,doc_138,2.9443933565085527
Query 1,34,doc_168,2.9443933565085527
Query 1,35,doc_503,2.2758930805595026
Query 1,36,doc_165,1.9942911617604502
Query 1,37,doc_183,1.9942911617604502
Query 1,38,doc_504,1.9752495194113742
Query 1,39,doc_499,1.4957183713203377
Query 1,40,doc_213,1.1965746970562703
Query 1,41,doc_965,1.1307229298357617
Query 1,42,doc_175,0.7672498369456581
Query 1,43,doc_549,0.7672498369456581
Query 1,44,doc_360,0.7538152865571746
Query 1,45,doc_505,0.7478612949498014
Query 1,46,doc_336,0.47953114809103636
Query 1,47,doc_727,0.22614467965850002
Query 1,48,doc_206,0.06060426494251926
Query 1,49,doc_1,0.0
Query 1,50,doc_10,0.0
Query 1,51,doc_1000,0.0
Query 1,52,doc_1002,0.0
Query 1,53,doc_1003,0.0
Query 1,54,doc_1004,0.0
Query 1,55,doc_1005,0.0
Query 1,56,doc_1006,0.0
Query 1,57,doc_1007,0.0
Query 1,58,doc_1008,0.0
Query 1,59,doc_1009,0.0
Query 1,60,doc_101,0.0
Query 1,61,doc_1010,0.0
Query 1,62,doc_1011,0.0
Query 1,63,doc_1012,0.0
Query 1,64,doc_1013,0.0
Query 1,65,doc_1014,0.0
Query 1,66,doc_1015,0.0
Query 1,67,doc_1016,0.0
Query 1,68,doc_1017,0.0
Query 1,69,doc_1018,0.0
Query 1,70,doc_1019,0.0
Query 1,71,doc_102,0.0
Query 1,72,doc_1021,0.0
Query 1,73,doc_1022,0.0
Query 1,74,doc_1023,0.0
Query 1,75,doc_1024,0.0
Query 1,76,doc_1025,0.0
Query 1,77,doc_1026,0.0
Query 1,78,doc_1027,0.0
Query 1,79,doc_1028,0.0
Query 1,80,doc_103,0.0
Query 1,81,doc_1030,0.0
Query 1,82,doc_1031,0.0
Query 1,83,doc_1032,0.0
Query 1,84,doc_1033,0.0
Query 1,85,doc_104,0.0
Query 1,86,doc_105,0.0
Query 1,87,doc_106,0.0
Query 1,88,doc_107,0.0
Query 1,89,doc_109,0.0
Query 1,90,doc_110,0.0
Query 1,91,doc_111,0.0
Query 1,92,doc_113,0.0
Query 1,93,doc_115,0.0
Query 1,94,doc_116,0.0
Query 1,95,doc_117,0.0
Query 1,96,doc_118,0.0
Query 1,97,doc_119,0.0
Query 1,98,doc_12,0.0
Query 1,99,doc_120,0.0
Query 1,100,doc_121,0.0
Query 1,101,doc_122,0.0
Query 1,102,doc_123,0.0
Query 1,103,doc_124,0.0
Query 1,104,doc_126,0.0
Query 1,105,doc_128,0.0
Query 1,106,doc_129,0.0
Query 1,107,doc_131,0.0
Query 1,108,doc_132,0.0
Query 1,109,doc_133,0.0
Query 1,110,doc_134,0.0
Query 1,111,doc_135,0.0
Query 1,112,doc_136,0.0
Query 1,113,doc_137,0.0
Query 1,114,doc_139,0.0
Query 1,115,doc_140,0.0
Query 1,116,doc_141,0.0
Query 1,117,doc_143,0.0
Query 1,118,doc_144,0.0
Query 1,119,doc_145,0.0
Query 1,120,doc_146,0.0
Query 1,121,doc_147,0.0
Query 1,122,doc_148,0.0
Query 1,123,doc_149,0.0
Query 1,124,doc_150,0.0
Query 1,125,doc_151,0.0
Query 1,126,doc_152,0.0
Query 1,127,doc_153,0.0
Query 1,128,doc_154,0.0
Query 1,129,doc_155,0.0
Query 1,130,doc_157,0.0
Query 1,131,doc_159,0.0
Query 1,132,doc_16,0.0
Query 1,133,doc_161,0.0
Query 1,134,doc_17,0.0
Query 1,135,doc_179,0.0
Query 1,136,doc_18,0.0
Query 1,137,doc_187,0.0
Query 1,138,doc_19,0.0
Query 1,139,doc_190,0.0
Query 1,140,doc_191,0.0
Query 1,141,doc_192,0.0
Query 1,142,doc_193,0.0
Query 1,143,doc_194,0.0
Query 1,144,doc_197,0.0
Query 1,145,doc_198,0.0
Query 1,146,doc_199,0.0
Query 1,147,doc_2,0.0
Query 1,148,doc_20,0.0
Query 1,149,doc_200,0.0
Query 1,150,doc_201,0.0
Query 1,151,doc_202,0.0
Query 1,152,doc_203,0.0
Query 1,153,doc_204,0.0
Query 1,154,doc_205,0.0
Query 1,155,doc_21,0.0
Query 1,156,doc_210,0.0
Query 1,157,doc_216,0.0
Query 1,158,doc_217,0.0
Query 1,159,doc_218,0.0
Query 1,160,doc_219,0.0
Query 1,161,doc_22,0.0
Query 1,162,doc_221,0.0
Query 1,163,doc_222,0.0
Query 1,164,doc_223,0.0
Query 1,165,doc_224,0.0
Query 1,166,doc_225,0.0
Query 1,167,doc_226,0.0
Query 1,168,doc_227,0.0
Query 1,169,doc_228,0.0
Query 1,170,doc_23,0.0
Query 1,171,doc_230,0.0
Query 1,172,doc_232,0.0
Query 1,173,doc_233,0.0
Query 1,174,doc_235,0.0
Query 1,175,doc_236,0.0
Query 1,176,doc_237,0.0
Query 1,177,doc_238,0.0
Query 1,178,doc_239,0.0
Query 1,179,doc_240,0.0
Query 1,180,doc_241,0.0
Query 1,181,doc_242,0.0
Query 1,182,doc_243,0.0
Query 1,183,doc_244,0.0
Query 1,184,doc_245,0.0
Query 1,185,doc_246,0.0
Query 1,186,doc_247,0.0
Query 1,187,doc_249,0.0
Query 1,188,doc_25,0.0
Query 1,189,doc_250,0.0
Query 1,190,doc_251,0.0
Query 1,191,doc_252,0.0
Query 1,192,doc_254,0.0
Query 1,193,doc_255,0.0
Query 1,194,doc_257,0.0
Query 1,195,doc_258,0.0
Query 1,196,doc_26,0.0
Query 1,197,doc_260,0.0
Query 1,198,doc_261,0.0
Query 1,199,doc_263,0.0
Query 1,200,doc_264,0.0
Query 1,201,doc_265,0.0
Query 1,202,doc_266,0.0
Query 1,203,doc_268,0.0
Query 1,204,doc_269,0.0
Query 1,205,doc_27,0.0
Query 1,206,doc_270,0.0
Query 1,207,doc_271,0.0
Query 1,208,doc_272,0.0
Query 1,209,doc_273,0.0
Query 1,210,doc_274,0.0
Query 1,211,doc_275,0.0
Query 1,212,doc_276,0.0
Query 1,213,doc_277,0.0
Query 1,214,doc_278,0.0
Query 1,215,doc_279,0.0
Query 1,216,doc_28,0.0
Query 1,217,doc_280,0.0
Query 1,218,doc_281,0.0
Query 1,219,doc_283,0.0
Query 1,220,doc_284,0.0
Query 1,221,doc_285,0.0
Query 1,222,doc_286,0.0
Query 1,223,doc_287,0.0
Query 1,224,doc_288,0.0
Query 1,225,doc_289,0.0
Query 1,226,doc_29,0.0
Query 1,227,doc_290,0.0
Query 1,228,doc_291,0.0
Query 1,229,doc_292,0.0
Query 1,230,doc_293,0.0
Query 1,231,doc_294,0.0
Query 1,232,doc_295,0.0
Query 1,233,doc_296,0.0
Query 1,234,doc_297,0.0
Query 1,235,doc_298,0.0
Query 1,236,doc_3,0.0
Query 1,237,doc_30,0.0
Query 1,238,doc_301,0.0
Query 1,239,doc_302,0.0
Query 1,240,doc_303,0.0
Query 1,241,doc_304,0.0
Query 1,242,doc_305,0.0
Query 1,243,doc_306,0.0
Query 1,244,doc_307,0.0
Query 1,245,doc_308,0.0
Query 1,246,doc_309,0.0
Query 1,247,doc_31,0.0
Query 1,248,doc_310,0.0
Query 1,249,doc_311,0.0
Query 1,250,doc_312,0.0
Query 1,251,doc_313,0.0
Query 1,252,doc_314,0.0
Query 1,253,doc_315,0.0
Query 1,254,doc_316,0.0
Query 1,255,doc_317,0.0
Query 1,256,doc_318,0.0
Query 1,257,doc_319,0.0
Query 1,258,doc_32,0.0
Query 1,259,doc_320,0.0
Query 1,260,doc_321,0.0
Query 1,261,doc_323,0.0
Query 1,262,doc_324,0.0
Query 1,263,doc_325,0.0
Query 1,264,doc_327,0.0
Query 1,265,doc_328,0.0
Query 1,266,doc_329,0.0
Query 1,267,doc_33,0.0
Query 1,268,doc_330,0.0
Query 1,269,doc_331,0.0
Query 1,270,doc_332,0.0
Query 1,271,doc_334,0.0
Query 1,272,doc_335,0.0
Query 1,273,doc_337,0.0
Query 1,274,doc_338,0.0
Query 1,275,doc_339,0.0
Query 1,276,doc_34,0.0
Query 1,277,doc_340,0.0
Query 1,278,doc_341,0.0
Query 1,279,doc_343,0.0
Query 1,280,doc_344,0.0
Query 1,281,doc_345,0.0
Query 1,282,doc_346,0.0
Query 1,283,doc_347,0.0
Query 1,284,doc_348,0.0
Query 1,285,doc_349,0.0
Query 1,286,doc_350,0.0
Query 1,287,doc_351,0.0
Query 1,288,doc_352,0.0
Query 1,289,doc_353,0.0
Query 1,290,doc_354,0.0
Query 1,291,doc_355,0.0
Query 1,292,doc_356,0.0
Query 1,293,doc_357,0.0
Query 1,294,doc_358,0.0
Query 1,295,doc_359,0.0
Query 1,296,doc_36,0.0
Query 1,297,doc_361,0.0
Query 1,298,doc_362,0.0
Query 1,299,doc_363,0.0
Query 1,300,doc_364,0.0
Query 1,301,doc_365,0.0
Query 1,302,doc_366,0.0
Query 1,303,doc_368,0.0
Query 1,304,doc_369,0.0
Query 1,305,doc_37,0.0
Query 1,306,doc_370,0.0
Query 1,307,doc_371,0.0
Query 1,308,doc_373,0.0
Query 1,309,doc_376,0.0
Query 1,310,doc_377,0.0
Query 1,311,doc_378,0.0
Query 1,312,doc_379,0.0
Query 1,313,doc_38,0.0
Query 1,314,doc_380,0.0
Query 1,315,doc_381,0.0
Query 1,316,doc_382,0.0
Query 1,317,doc_384,0.0
Query 1,318,doc_385,0.0
Query 1,319,doc_386,0.0
Query 1,320,doc_387,0.0
Query 1,321,doc_388,0.0
Query 1,322,doc_389,0.0
Query 1,323,doc_39,0.0
Query 1,324,doc_390,0.0
Query 1,325,doc_391,0.0
Query 1,326,doc_392,0.0
Query 1,327,doc_393,0.0
Query 1,328,doc_394,0.0
Query 1,329,doc_395,0.0
Query 1,330,doc_396,0.0
Query 1,331,doc_397,0.0
Query 1,332,doc_398,0.0
Query 1,333,doc_399,0.0
Query 1,334,doc_40,0.0
Query 1,335,doc_400,0.0
Query 1,336,doc_402,0.0
Query 1,337,doc_405,0.0
Query 1,338,doc_406,0.0
Query 1,339,doc_407,0.0
Query 1,340,doc_409,0.0
Query 1,341,doc_410,0.0
Query 1,342,doc_411,0.0
Query 1,343,doc_412,0.0
Query 1,344,doc_413,0.0
Query 1,345,doc_414,0.0
Query 1,346,doc_415,0.0
Query 1,347,doc_416,0.0
Query 1,348,doc_417,0.0
Query 1,349,doc_418,0.0
Query 1,350,doc_419,0.0
Query 1,351,doc_420,0.0
Query 1,352,doc_422,0.0
Query 1,353,doc_423,0.0
Query 1,354,doc_424,0.0
Query 1,355,doc_425,0.0
Query 1,356,doc_426,0.0
Query 1,357,doc_427,0.0
Query 1,358,doc_428,0.0
Query 1,359,doc_429,0.0
Query 1,360,doc_43,0.0
Query 1,361,doc_430,0.0
Query 1,362,doc_431,0.0
Query 1,363,doc_432,0.0
Query 1,364,doc_433,0.0
Query 1,365,doc_434,0.0
Query 1,366,doc_435,0.0
Query 1,367,doc_436,0.0
Query 1,368,doc_437,0.0
Query 1,369,doc_438,0.0
Query 1,370,doc_439,0.0
Query 1,371,doc_44,0.0
Query 1,372,doc_440,0.0
Query 1,373,doc_441,0.0
Query 1,374,doc_443,0.0
Query 1,375,doc_444,0.0
Query 1,376,doc_446,0.0
Query 1,377,doc_447,0.0
Query 1,378,doc_448,0.0
Query 1,379,doc_449,0.0
Query 1,380,doc_45,0.0
Query 1,381,doc_450,0.0
Query 1,382,doc_451,0.0
Query 1,383,doc_452,0.0
Query 1,384,doc_453,0.0
Query 1,385,doc_455,0.0
Query 1,386,doc_456,0.0
Query 1,387,doc_457,0.0
Query 1,388,doc_458,0.0
Query 1,389,doc_459,0.0
Query 1,390,doc_46,0.0
Query 1,391,doc_460,0.0
Query 1,392,doc_461,0.0
Query 1,393,doc_462,0.0
Query 1,394,doc_463,0.0
Query 1,395,doc_465,0.0
Query 1,396,doc_467,0.0
Query 1,397,doc_468,0.0
Query 1,398,doc_47,0.0
Query 1,399,doc_470,0.0
Query 1,400,doc_471,0.0
Query 1,401,doc_472,0.0
Query 1,402,doc_473,0.0
Query 1,403,doc_474,0.0
Query 1,404,doc_475,0.0
Query 1,405,doc_476,0.0
Query 1,406,doc_477,0.0
Query 1,407,doc_478,0.0
Query 1,408,doc_479,0.0
Query 1,409,doc_48,0.0
Query 1,410,doc_481,0.0
Query 1,411,doc_482,0.0
Query 1,412,doc_483,0.0
Query 1,413,doc_484,0.0
Query 1,414,doc_487,0.0
Query 1,415,doc_488,0.0
Query 1,416,doc_489,0.0
Query 1,417,doc_49,0.0
Query 1,418,doc_490,0.0
Query 1,419,doc_491,0.0
Query 1,420,doc_492,0.0
Query 1,421,doc_493,0.0
Query 1,422,doc_494,0.0
Query 1,423,doc_495,0.0
Query 1,424,doc_497,0.0
Query 1,425,doc_498,0.0
Query 1,426,doc_5,0.0
Query 1,427,doc_50,0.0
Query 1,428,doc_51,0.0
Query 1,429,doc_514,0.0
Query 1,430,doc_515,0.0
Query 1,431,doc_517,0.0
Query 1,432,doc_518,0.0
Query 1,433,doc_519,0.0
Query 1,434,doc_52,0.0
Query 1,435,doc_520,0.0
Query 1,436,doc_522,0.0
