Query,Rank,Document_ID,Log_Score
Query 1,1,doc_965,5.694962007661149
Query 1,2,doc_13,4.871443503784427
Query 1,3,doc_72,4.382624758814073
Query 1,4,doc_360,3.7966413384407667
Query 1,5,doc_506,3.698278515855576
Query 1,6,doc_507,3.4049872688733633
Query 1,7,doc_171,3.1217420506286433
Query 1,8,doc_184,2.9273305898257904
Query 1,9,doc_181,2.9245404968625683
Query 1,10,doc_500,2.920953099315222
Query 1,11,doc_510,2.531811445108351
Query 1,12,doc_511,2.5091421713127198
Query 1,13,doc_502,2.2368461423482047
Query 1,14,doc_142,1.9552749798814182
Query 1,15,doc_15,1.9552749798814182
Query 1,16,doc_166,1.9552749798814182
Query 1,17,doc_167,1.9552749798814182
Query 1,18,doc_169,1.9552749798814182
Query 1,19,doc_170,1.9552749798814182
Query 1,20,doc_79,1.9552749798814182
Query 1,21,doc_501,1.946903006921859
Query 1,22,doc_508,1.946903006921859
Query 1,23,doc_212,1.7380222043390383
Query 1,24,doc_838,1.7311686660131436
Query 1,25,doc_509,1.7305808270571839
Query 1,26,doc_172,1.5642199839051345
Query 1,27,doc_180,1.5467749487441136
Query 1,28,doc_164,1.4664562349110637
Query 1,29,doc_138,1.4312130211519314
Query 1,30,doc_168,1.4312130211519314
Query 1,31,doc_513,1.3686924859169927
Query 1,32,doc_185,1.3035166532542788
Query 1,33,doc_186,1.3035166532542788
Query 1,34,doc_503,1.2979347732579418
Query 1,35,doc_182,1.2220475517670957
Query 1,36,doc_14,1.1731649879288508
Query 1,37,doc_727,1.1389928734149974
Query 1,38,doc_211,0.9776374899407091
Query 1,39,doc_512,0.9776374899407091
Query 1,40,doc_763,0.9071519671686916
Query 1,41,doc_986,0.9071519671686916
Query 1,42,doc_504,0.8533402339757037
Query 1,43,doc_645,0.7729732661730289
Query 1,44,doc_125,0.7282483030798375
Query 1,45,doc_127,0.7282483030798375
Query 1,46,doc_231,0.7282483030798375
Query 1,47,doc_401,0.725721392785704
Query 1,48,doc_11,0.6803637491899571
Query 1,49,doc_173,0.6803637491899571
Query 1,50,doc_899,0.6803637491899571
Query 1,51,doc_165,0.6517583266271394
Query 1,52,doc_183,0.6517583266271394
Query 1,53,doc_758,0.6047676765303788
Query 1,54,doc_816,0.6047676765303788
Query 1,55,doc_870,0.6047676765303788
Query 1,56,doc_9,0.6047676765303788
Query 1,57,doc_206,0.6011710757176169
Query 1,58,doc_175,0.5832343824085585
Query 1,59,doc_549,0.5832343824085585
Query 1,60,doc_65,0.5669700925737132
Query 1,61,doc_256,0.5442908184027162
Query 1,62,doc_637,0.5336184316743051
Query 1,63,doc_58,0.5039735161484391
Query 1,64,doc_403,0.49988129081455557
Query 1,65,doc_499,0.48881874497035455
Query 1,66,doc_177,0.4535755312112224
Query 1,67,doc_178,0.4535755312112224
Query 1,68,doc_215,0.4535755312112224
Query 1,69,doc_404,0.4535755312112224
Query 1,70,doc_570,0.4535755312112224
Query 1,71,doc_606,0.4535755312112224
Query 1,72,doc_640,0.4535755312112224
Query 1,73,doc_869,0.4535755312112224
Query 1,74,doc_900,0.4535755312112224
Query 1,75,doc_469,0.43694964033431094
Query 1,76,doc_156,0.4258640124415246
Query 1,77,doc_220,0.4258640124415246
Query 1,78,doc_262,0.4258640124415246
Query 1,79,doc_372,0.4258640124415246
Query 1,80,doc_442,0.4258640124415246
Query 1,81,doc_685,0.4258640124415246
Query 1,82,doc_981,0.4258640124415246
Query 1,83,doc_213,0.3910549959762836
Query 1,84,doc_174,0.3887794145008679
Query 1,85,doc_209,0.3887794145008679
Query 1,86,doc_913,0.36502645316092786
Query 1,87,doc_336,0.3645214890053491
Query 1,88,doc_130,0.36286024401972855
Query 1,89,doc_163,0.36286024401972855
Query 1,90,doc_578,0.36286024401972855
Query 1,91,doc_658,0.36286024401972855
Query 1,92,doc_660,0.36286024401972855
Query 1,93,doc_730,0.36286024401972855
Query 1,94,doc_734,0.36286024401972855
Query 1,95,doc_540,0.34018187459497856
Query 1,96,doc_642,0.34018187459497856
Query 1,97,doc_876,0.34018187459497856
Query 1,98,doc_542,0.33325449545845265
Query 1,99,doc_112,0.3193977349618065
Query 1,100,doc_160,0.3193977349618065
Query 1,101,doc_195,0.3193977349618065
Query 1,102,doc_24,0.3193977349618065
Query 1,103,doc_4,0.3193977349618065
Query 1,104,doc_464,0.3193977349618065
Query 1,105,doc_726,0.3193977349618065
Query 1,106,doc_744,0.3193977349618065
Query 1,107,doc_835,0.3193977349618065
Query 1,108,doc_86,0.3193977349618065
Query 1,109,doc_896,0.3193977349618065
Query 1,110,doc_189,0.30238429063831285
Query 1,111,doc_248,0.30238429063831285
Query 1,112,doc_367,0.30238429063831285
Query 1,113,doc_445,0.30238429063831285
Query 1,114,doc_516,0.30238429063831285
Query 1,115,doc_584,0.30238429063831285
Query 1,116,doc_800,0.30238429063831285
