Query,Rank,Document_ID,Log_Score
Query 1,1,doc_13,-31.599211763531443
Query 1,2,doc_171,-31.634010971097332
Query 1,3,doc_72,-31.775301145451024
Query 1,4,doc_506,-32.2194656612727
Query 1,5,doc_511,-32.291201604934386
Query 1,6,doc_360,-32.445004178228835
Query 1,7,doc_500,-32.51708426321486
Query 1,8,doc_181,-32.684649838093
Query 1,9,doc_509,-32.73598747737041
Query 1,10,doc_184,-32.833975526519
Query 1,11,doc_965,-32.90319073890348
Query 1,12,doc_180,-33.10838106858206
Query 1,13,doc_507,-33.55580121756038
Query 1,14,doc_838,-33.57335492164703
Query 1,15,doc_138,-33.576419876879015
Query 1,16,doc_501,-33.64554822779983
Query 1,17,doc_510,-33.75266572023734
Query 1,18,doc_645,-33.783185585588356
Query 1,19,doc_503,-33.812330500299
Query 1,20,doc_168,-33.91962477865944
Query 1,21,doc_206,-33.92701135081359
Query 1,22,doc_502,-34.06218713317805
Query 1,23,doc_727,-34.078954494212496
Query 1,24,doc_504,-34.50686742029741
Query 1,25,doc_403,-34.57500812954201
Query 1,26,doc_508,-34.75343807097099
Query 1,27,doc_127,-34.75799179111595
Query 1,28,doc_125,-34.80938524561484
Query 1,29,doc_231,-34.83427552055626
Query 1,30,doc_513,-34.8978954793488
Query 1,31,doc_166,-34.97105488301983
Query 1,32,doc_15,-35.083745129597425
Query 1,33,doc_167,-35.083745129597425
Query 1,34,doc_182,-35.09598366483747
Query 1,35,doc_170,-35.12387853680038
Query 1,36,doc_185,-35.17152970993955
Query 1,37,doc_79,-35.180747353350974
Query 1,38,doc_896,-35.28549738125502
Query 1,39,doc_169,-35.31593772368397
Query 1,40,doc_212,-35.32947483584165
Query 1,41,doc_986,-35.34022468995927
Query 1,42,doc_835,-35.39500280155057
Query 1,43,doc_175,-35.42587169455796
Query 1,44,doc_164,-35.45870776543599
Query 1,45,doc_156,-35.468440657324074
Query 1,46,doc_186,-35.49078025829998
Query 1,47,doc_336,-35.51948421084223
Query 1,48,doc_374,-35.59767262628139
