Query,Rank,Document_ID,Log_Score
Query 1,1,doc_21,-15.455212266791579
Query 1,2,doc_979,-15.455212266791579
Query 1,3,doc_766,-16.29048269010741
Query 1,4,doc_489,-16.66102255087602
Query 1,5,doc_27,-17.005986908310778
Query 1,6,doc_37,-17.482537807332402
Query 1,7,doc_318,-17.776740307447067
Query 1,8,doc_967,-17.776740307447067
Query 1,9,doc_819,-18.05458956322112
Query 1,10,doc_840,-18.18793079863193
Query 1,11,doc_360,-18.257392765871344
Query 1,12,doc_191,-18.317808230648232
Query 1,13,doc_53,-18.317808230648232
Query 1,14,doc_939,-18.317808230648232
Query 1,15,doc_34,-18.44439727056968
Query 1,16,doc_844,-18.44439727056968
Query 1,17,doc_892,-18.44439727056968
Query 1,18,doc_13,-18.679708483502175
Query 1,19,doc_778,-18.68834809141684
Query 1,20,doc_171,-18.697068809785385
Query 1,21,doc_43,-18.806000578467813
Query 1,22,doc_704,-18.806000578467813
Query 1,23,doc_613,-18.920948169591306
Query 1,24,doc_846,-18.920948169591306
Query 1,25,doc_1026,-19.033312448851596
Query 1,26,doc_703,-19.033312448851596
Query 1,27,doc_1028,-19.143206982445477
Query 1,28,doc_616,-19.143206982445477
Query 1,29,doc_916,-19.143206982445477
Query 1,30,doc_986,-19.168074959746665
Query 1,31,doc_185,-19.203602764063984
Query 1,32,doc_138,-19.25507262840574
Query 1,33,doc_896,-19.34351874560241
Query 1,34,doc_568,-19.356005054539455
Query 1,35,doc_749,-19.356005054539455
Query 1,36,doc_956,-19.356005054539455
Query 1,37,doc_227,-19.459101490553135
Query 1,38,doc_904,-19.459101490553135
Query 1,39,doc_20,-19.56011502714073
Query 1,40,doc_369,-19.56011502714073
Query 1,41,doc_636,-19.56011502714073
Query 1,42,doc_772,-19.56011502714073
Query 1,43,doc_645,-19.59157112585222
Query 1,44,doc_835,-19.60906787217215
Query 1,45,doc_911,-19.659128163621627
Query 1,46,doc_838,-19.728565996792796
Query 1,47,doc_1012,-19.756218592907135
Query 1,48,doc_72,-19.82600868378519
Query 1,49,doc_767,-19.85145956776061
Query 1,50,doc_990,-19.85145956776061
Query 1,51,doc_9,-19.92485080828672
Query 1,52,doc_610,-19.944920232821374
Query 1,53,doc_889,-19.944920232821374
Query 1,54,doc_875,-20.022526451397717
Query 1,55,doc_818,-20.036665926162357
Query 1,56,doc_842,-20.036665926162357
Query 1,57,doc_936,-20.036665926162357
Query 1,58,doc_546,-20.12675845367575
Query 1,59,doc_606,-20.17878916891824
Query 1,60,doc_109,-20.21525633917275
Query 1,61,doc_470,-20.21525633917275
Query 1,62,doc_765,-20.21525633917275
Query 1,63,doc_156,-20.25512652957218
Query 1,64,doc_363,-20.302215052732095
Query 1,65,doc_827,-20.302215052732095
Query 1,66,doc_870,-20.353684917073846
Query 1,67,doc_141,-20.387687219528598
Query 1,68,doc_170,-20.397249772328067
Query 1,69,doc_184,-20.41960680997149
Query 1,70,doc_873,-20.421713177352736
Query 1,71,doc_167,-20.460944901215218
Query 1,72,doc_52,-20.471722811110503
Query 1,73,doc_74,-20.471722811110503
Query 1,74,doc_790,-20.471722811110503
Query 1,75,doc_96,-20.471722811110503
Query 1,76,doc_824,-20.554369320866556
Query 1,77,doc_924,-20.554369320866556
Query 1,78,doc_515,-20.63567192522546
Query 1,79,doc_948,-20.63567192522546
Query 1,80,doc_869,-20.68493184477985
Query 1,81,doc_374,-20.69018341452033
Query 1,82,doc_103,-20.715673631957664
Query 1,83,doc_221,-20.715673631957664
Query 1,84,doc_30,-20.715673631957664
Query 1,85,doc_527,-20.715673631957664
Query 1,86,doc_717,-20.715673631957664
Query 1,87,doc_710,-20.79441541679836
Query 1,88,doc_931,-20.79441541679836
Query 1,89,doc_940,-20.79441541679836
Query 1,90,doc_975,-20.79441541679836
Query 1,91,doc_556,-20.871936349478183
Query 1,92,doc_69,-20.871936349478183
Query 1,93,doc_506,-20.877579197635658
Query 1,94,doc_1014,-20.948273710132128
Query 1,95,doc_18,-20.948273710132128
Query 1,96,doc_250,-20.948273710132128
Query 1,97,doc_538,-20.948273710132128
Query 1,98,doc_516,-20.96051952087171
Query 1,99,doc_521,-20.96051952087171
Query 1,100,doc_79,-21.000389711271144
Query 1,101,doc_55,-21.023463096954828
Query 1,102,doc_803,-21.023463096954828
Query 1,103,doc_168,-21.080834400088545
Query 1,104,doc_511,-21.097046248788086
Query 1,105,doc_186,-21.114643993783474
Query 1,106,doc_181,-21.152032443773702
Query 1,107,doc_224,-21.1705325229863
Query 1,108,doc_45,-21.1705325229863
Query 1,109,doc_498,-21.1705325229863
Query 1,110,doc_226,-21.242476210246796
Query 1,111,doc_794,-21.242476210246796
Query 1,112,doc_145,-21.313399385206576
Query 1,113,doc_273,-21.313399385206576
Query 1,114,doc_50,-21.313399385206576
Query 1,115,doc_969,-21.313399385206576
Query 1,116,doc_42,-21.340449055761322
Query 1,117,doc_464,-21.340449055761322
Query 1,118,doc_509,-21.352871575759874
Query 1,119,doc_106,-21.383330595080277
Query 1,120,doc_129,-21.383330595080277
Query 1,121,doc_523,-21.383330595080277
Query 1,122,doc_639,-21.383330595080277
Query 1,123,doc_705,-21.383330595080277
Query 1,124,doc_761,-21.383330595080277
Query 1,125,doc_8,-21.383330595080277
Query 1,126,doc_961,-21.383330595080277
Query 1,127,doc_268,-21.452297205741957
Query 1,128,doc_659,-21.452297205741957
Query 1,129,doc_178,-21.45568524391614
Query 1,130,doc_354,-21.520325466020847
Query 1,131,doc_815,-21.520325466020847
Query 1,132,doc_874,-21.520325466020847
Query 1,133,doc_966,-21.520325466020847
Query 1,134,doc_211,-21.56438517709817
Query 1,135,doc_648,-21.57858930070759
Query 1,136,doc_281,-21.58744056768155
Query 1,137,doc_450,-21.58744056768155
Query 1,138,doc_759,-21.58744056768155
Query 1,139,doc_768,-21.58744056768155
Query 1,140,doc_793,-21.58744056768155
Query 1,141,doc_944,-21.58744056768155
Query 1,142,doc_953,-21.58744056768155
Query 1,143,doc_737,-21.653666701431654
Query 1,144,doc_807,-21.653666701431654
Query 1,145,doc_843,-21.653666701431654
Query 1,146,doc_182,-21.664979941917665
Query 1,147,doc_39,-21.71902710926842
Query 1,148,doc_493,-21.71902710926842
Query 1,149,doc_559,-21.71902710926842
Query 1,150,doc_583,-21.71902710926842
Query 1,151,doc_801,-21.71902710926842
Query 1,152,doc_860,-21.71902710926842
Query 1,153,doc_87,-21.750034668100753
Query 1,154,doc_1030,-21.783544133447958
Query 1,155,doc_147,-21.783544133447958
Query 1,156,doc_16,-21.783544133447958
Query 1,157,doc_307,-21.783544133447958
Query 1,158,doc_887,-21.783544133447958
Query 1,159,doc_175,-21.805901171091378
Query 1,160,doc_127,-21.83566013458697
Query 1,161,doc_169,-21.835660134586973
Query 1,162,doc_22,-21.84723926233511
Query 1,163,doc_327,-21.84723926233511
Query 1,164,doc_335,-21.84723926233511
Query 1,165,doc_337,-21.84723926233511
Query 1,166,doc_452,-21.84723926233511
Query 1,167,doc_754,-21.84723926233511
Query 1,168,doc_180,-21.85276560248991
Query 1,169,doc_383,-21.861150352024303
Query 1,170,doc_125,-21.883507389667727
Query 1,171,doc_1005,-21.910133173369406
Query 1,172,doc_238,-21.910133173369406
Query 1,173,doc_382,-21.910133173369406
Query 1,174,doc_739,-21.910133173369406
Query 1,175,doc_823,-21.910133173369406
Query 1,176,doc_871,-21.910133173369406
Query 1,177,doc_685,-21.915795704685255
Query 1,178,doc_763,-21.930901109440445
Query 1,179,doc_899,-21.930901109440445
Query 1,180,doc_217,-21.972245773362197
Query 1,181,doc_235,-21.972245773362197
Query 1,182,doc_33,-21.972245773362197
Query 1,183,doc_566,-21.972245773362197
Query 1,184,doc_978,-21.972245773362197
Query 1,185,doc_101,-22.033596236321266
Query 1,186,doc_285,-22.033596236321266
Query 1,187,doc_320,-22.033596236321266
Query 1,188,doc_526,-22.033596236321266
Query 1,189,doc_177,-22.07155432953838
Query 1,190,doc_140,-22.09420303898299
Query 1,191,doc_475,-22.09420303898299
Query 1,192,doc_59,-22.09420303898299
Query 1,193,doc_602,-22.09420303898299
Query 1,194,doc_665,-22.09420303898299
Query 1,195,doc_958,-22.09420303898299
Query 1,196,doc_1,-22.154083994216567
Query 1,197,doc_572,-22.154083994216567
Query 1,198,doc_615,-22.154083994216567
Query 1,199,doc_787,-22.154083994216567
Query 1,200,doc_248,-22.180407711956967
Query 1,201,doc_643,-22.180407711956967
Query 1,202,doc_161,-22.21325628245158
Query 1,203,doc_345,-22.21325628245158
Query 1,204,doc_677,-22.21325628245158
Query 1,205,doc_968,-22.21325628245158
Query 1,206,doc_256,-22.250644732441813
Query 1,207,doc_500,-22.259927845813976
Query 1,208,doc_501,-22.26916230763403
Query 1,209,doc_237,-22.27173648126754
Query 1,210,doc_607,-22.27173648126754
Query 1,211,doc_611,-22.27173648126754
Query 1,212,doc_857,-22.27173648126754
Query 1,213,doc_1003,-22.329540593272917
Query 1,214,doc_19,-22.329540593272917
Query 1,215,doc_225,-22.329540593272917
Query 1,216,doc_725,-22.329540593272917
Query 1,217,doc_792,-22.329540593272917
Query 1,218,doc_925,-22.329540593272917
Query 1,219,doc_220,-22.33270374938051
Query 1,220,doc_11,-22.33836628069636
Query 1,221,doc_163,-22.358127122477608
Query 1,222,doc_654,-22.358127122477608
Query 1,223,doc_231,-22.38165659441193
Query 1,224,doc_262,-22.382455403646354
Query 1,225,doc_134,-22.386684072391034
Query 1,226,doc_344,-22.386684072391034
Query 1,227,doc_587,-22.386684072391034
Query 1,228,doc_897,-22.386684072391034
Query 1,229,doc_164,-22.42457531286889
Query 1,230,doc_67,-22.43171688586141
Query 1,231,doc_105,-22.4431818486607
Query 1,232,doc_124,-22.4431818486607
Query 1,233,doc_316,-22.4431818486607
Query 1,234,doc_405,-22.4431818486607
Query 1,235,doc_690,-22.4431818486607
Query 1,236,doc_774,-22.4431818486607
Query 1,237,doc_919,-22.4431818486607
Query 1,238,doc_974,-22.4431818486607
Query 1,239,doc_513,-22.48383288700043
Query 1,240,doc_514,-22.499048351651325
Query 1,241,doc_735,-22.499048351651325
Query 1,242,doc_336,-22.528807315146913
Query 1,243,doc_503,-22.545912783049857
Query 1,244,doc_232,-22.55429753258425
Query 1,245,doc_257,-22.55429753258425
Query 1,246,doc_371,-22.55429753258425
Query 1,247,doc_525,-22.55429753258425
Query 1,248,doc_621,-22.55429753258425
Query 1,249,doc_829,-22.55429753258425
Query 1,250,doc_1023,-22.608942885245202
Query 1,251,doc_671,-22.608942885245202
Query 1,252,doc_982,-22.608942885245202
Query 1,253,doc_375,-22.62404829000039
Query 1,254,doc_909,-22.62404829000039
Query 1,255,doc_1007,-22.66299746576628
Query 1,256,doc_119,-22.66299746576628
Query 1,257,doc_254,-22.66299746576628
Query 1,258,doc_366,-22.66299746576628
Query 1,259,doc_406,-22.66299746576628
Query 1,260,doc_46,-22.66299746576628
Query 1,261,doc_173,-22.674627415742194
Query 1,262,doc_10,-22.71647391135002
Query 1,263,doc_357,-22.71647391135002
Query 1,264,doc_808,-22.71647391135002
Query 1,265,doc_213,-22.763592230585772
Query 1,266,doc_1027,-22.769384458002705
Query 1,267,doc_269,-22.769384458002705
Query 1,268,doc_381,-22.769384458002705
Query 1,269,doc_396,-22.769384458002705
Query 1,270,doc_429,-22.769384458002705
Query 1,271,doc_574,-22.769384458002705
Query 1,272,doc_724,-22.769384458002705
Query 1,273,doc_215,-22.797005176889538
Query 1,274,doc_166,-22.804227170423037
Query 1,275,doc_1010,-22.82174095733918
Query 1,276,doc_249,-22.82174095733918
Query 1,277,doc_582,-22.82174095733918
Query 1,278,doc_934,-22.82174095733918
Query 1,279,doc_993,-22.82174095733918
Query 1,280,doc_367,-22.854503826001725
Query 1,281,doc_61,-22.873554892516914
Query 1,282,doc_714,-22.873554892516914
Query 1,283,doc_742,-22.873554892516914
Query 1,284,doc_828,-22.873554892516914
Query 1,285,doc_404,-22.880340439315596
Query 1,286,doc_403,-22.906619827140737
Query 1,287,doc_540,-22.91276766068847
Query 1,288,doc_340,-22.92483739335286
Query 1,289,doc_497,-22.92483739335286
Query 1,290,doc_796,-22.92483739335286
Query 1,291,doc_852,-22.92483739335286
Query 1,292,doc_139,-22.97559925067295
Query 1,293,doc_352,-22.97559925067295
Query 1,294,doc_575,-22.97559925067295
Query 1,295,doc_684,-22.97559925067295
Query 1,296,doc_830,-22.97559925067295
Query 1,297,doc_451,-23.025850929940454
Query 1,298,doc_550,-23.025850929940454
Query 1,299,doc_560,-23.025850929940454
Query 1,300,doc_946,-23.025850929940454
