Query,Rank,Document_ID,Log_Score
1,1,171,-1.3452424697931609
1,2,13,-1.367945878664182
1,3,72,-1.3853538452286898
1,4,506,-1.5506733002828315
1,5,500,-1.62269236637106
1,6,511,-1.7328819808348026
1,7,184,-1.7706915728878536
1,8,15,-1.820963853596974
1,9,965,-1.8603020013063112
1,10,509,-1.8659704836515052
1,11,166,-1.876023229861382
1,12,181,-1.878165510211261
1,13,513,-1.9140611490660606
1,14,138,-1.9877197549780883
1,15,507,-2.0408314653724737
1,16,360,-2.086758199100287
1,17,502,-2.093854782981765
1,18,167,-2.114940052127958
1,19,501,-2.1441578795392737
1,20,212,-2.157372727428945
1,21,79,-2.2339970997750354
1,22,838,-2.2653018876973903
1,23,180,-2.27845541561042
1,24,182,-2.2875950316646776
1,25,510,-2.2899445425955283
1,26,637,-2.3156811524215337
1,27,986,-2.3597686241308478
1,28,503,-2.377199715837461
1,29,168,-2.3870049825475705
1,30,512,-2.394204134565197
1,31,185,-2.408585962620042
1,32,170,-2.4192535451188304
1,33,164,-2.435407330585038
1,34,169,-2.471660620959477
1,35,645,-2.473358404469805
1,36,172,-2.5250394316645797
1,37,403,-2.5562387563306177
1,38,142,-2.6138787448653678
1,39,899,-2.6341649328511583
1,40,401,-2.637151142099956
1,41,14,-2.657719031845038
1,42,763,-2.660929248135396
1,43,58,-2.661119147842742
1,44,256,-2.6733436101191863
1,45,186,-2.6798409053524836
1,46,65,-2.6910809330697267
1,47,177,-2.703118213903526
1,48,508,-2.717323574344959
1,49,11,-2.7461024059341614
1,50,499,-2.7592543534878717
1,51,873,-2.7708663275953334
1,52,504,-2.772185000601119
1,53,570,-2.8051434075776864
1,54,211,-2.809899859165481
1,55,173,-2.823208164977886
1,56,869,-2.876088365633167
1,57,231,-2.914741618987464
1,58,99,-2.9292362405195913
1,59,165,-2.9393984176984835
1,60,183,-2.9400199166230454
1,61,178,-2.950857068260969
1,62,540,-2.950918214450778
1,63,876,-2.989254591358716
1,64,870,-3.027912763479145
1,65,640,-3.030573291561897
1,66,404,-3.038605180326955
1,67,125,-3.0500207561861092
1,68,542,-3.06480895293262
1,69,9,-3.091746641840637
1,70,127,-3.0920554530430384
1,71,209,-3.1188980637937953
1,72,900,-3.1461471161126
1,73,758,-3.1570085396245218
1,74,578,-3.170224771753481
1,75,654,-3.192556293474263
1,76,896,-3.2156703610596185
1,77,41,-3.27406146506231
1,78,174,-3.2747022229621883
1,79,215,-3.2945555176340653
1,80,816,-3.300092117179771
1,81,206,-3.312913480103388
1,82,175,-3.320515961687682
1,83,163,-3.342285754389946
1,84,603,-3.343661140100675
1,85,445,-3.3544405616070496
1,86,642,-3.3561476858961066
1,87,913,-3.395527647667364
1,88,336,-3.3984095114061557
1,89,590,-3.3998542975113106
1,90,660,-3.4101088056872775
1,91,584,-3.414691945577569
1,92,333,-3.433274774790879
1,93,130,-3.433550293945526
1,94,112,-3.45312816843888
1,95,464,-3.474295184381163
1,96,875,-3.4774056931146697
1,97,259,-3.5002039042190534
1,98,658,-3.517137108982078
1,99,541,-3.5227343160529623
1,100,727,-3.5424443538106196
1,101,156,-3.5439628999250696
1,102,648,-3.5539918721884396
1,103,685,-3.5606169130492007
1,104,606,-3.5729109104477614
1,105,469,-3.573387053503653
1,106,383,-3.612258799364609
1,107,981,-3.621397416768258
1,108,589,-3.623810478303867
1,109,262,-3.633666381981416
1,110,730,-3.6340729276591603
1,111,442,-3.643896948641113
1,112,516,-3.6441285187025665
1,113,744,-3.6475251643592697
1,114,734,-3.6500941913387557
1,115,220,-3.664849309851021
1,116,78,-3.6670849751183567
1,117,213,-3.6755774727107333
1,118,253,-3.6788559567118204
1,119,248,-3.6972654540193868
1,120,950,-3.6993854807413675
1,121,700,-3.7018946773221244
1,122,643,-3.711030094270242
1,123,567,-3.726880036835744
1,124,835,-3.729130805851509
1,125,82,-3.7538729935135597
1,126,87,-3.754982293579435
1,127,375,-3.755676356828285
1,128,549,-3.7657217562834586
1,129,880,-3.7685164648259453
1,130,374,-3.778469216818802
1,131,372,-3.791622827902777
1,132,234,-3.8051101754066075
1,133,894,-3.805772279428738
1,134,42,-3.824829844404483
1,135,67,-3.827909544522601
1,136,652,-3.8413840080649986
1,137,593,-3.8431962969556897
1,138,160,-3.8446114197002
1,139,521,-3.865856304451197
1,140,367,-3.8845208104965434
1,141,189,-3.8902014660510207
1,142,86,-3.895425587703012
1,143,585,-3.915145853447848
1,144,577,-3.9273094098138466
1,145,619,-3.931652384227474
1,146,454,-3.937326167692522
1,147,342,-3.9411482946618888
1,148,158,-3.9457874433911204
1,149,573,-3.9519730536636906
1,150,826,-3.9550048825217363
1,151,849,-3.9607419424209342
1,152,496,-3.97519613574695
1,153,108,-3.978447300835601
1,154,650,-3.9792451424325446
1,155,726,-3.9825316325835547
1,156,632,-3.997255760006807
1,157,4,-3.9984945942239376
1,158,984,-4.004258897174581
1,159,909,-4.005101879452597
1,160,195,-4.025215034012089
1,161,114,-4.048623299463372
1,162,1001,-4.055373427803541
1,163,207,-4.063494397467126
1,164,299,-4.06782029788153
1,165,214,-4.068001373976297
1,166,863,-4.070466369735918
1,167,576,-4.083673884740532
1,168,800,-4.088119776184665
1,169,267,-4.089669822359119
1,170,1029,-4.090122741926464
1,171,505,-4.100247345295248
1,172,631,-4.106589308952458
1,173,655,-4.124216559927419
1,174,24,-4.128251820582542
1,175,83,-4.12907834479471
1,176,486,-4.130260402970645
1,177,176,-4.131118860915815
1,178,831,-4.148798011970563
1,179,580,-4.150038256724004
1,180,872,-4.152304357496312
1,181,466,-4.153424623785657
1,182,300,-4.171814549822091
1,183,743,-4.172398631690558
1,184,886,-4.173358789052349
1,185,812,-4.174517758230585
1,186,95,-4.174793868171527
1,187,910,-4.185226105760222
1,188,188,-4.19310856620736
1,189,905,-4.194258285757245
1,190,719,-4.2102840832787445
1,191,809,-4.219558651259091
1,192,421,-4.2211659403583734
1,193,75,-4.221926797293976
1,194,604,-4.223115903950817
1,195,162,-4.22892726190014
1,196,627,-4.23059250848912
1,197,888,-4.2790344166680905
1,198,70,-4.291195567736274
1,199,797,-4.291353445478363
1,200,999,-4.301911896716289
1,201,664,-4.305734866335213
1,202,581,-4.32663928833046
1,203,229,-4.32744725428947
1,204,408,-4.353519274300644
1,205,557,-4.3829044068718135
1,206,769,-4.389683131973861
1,207,100,-4.3992913203348625
1,208,208,-4.401540785225049
1,209,927,-4.41248302155678
1,210,322,-4.48965915126883
1,211,480,-4.492508916522708
1,212,35,-4.499085446892855
1,213,485,-4.518578007473651
1,214,811,-4.532428331404212
1,215,282,-4.540214115267056
1,216,196,-4.579940684754098
1,217,715,-4.5810558875555625
1,218,326,-4.583659494201398
1,219,799,-4.594503195569051
1,220,1020,-4.599770627328091
1,221,907,-4.612065211852228
1,222,608,-4.701217147049458
1,223,569,-4.907772231840556
1,224,732,-5.19212515582163
1,225,657,-23.025850929940457
1,226,481,-23.025850929940457
1,227,104,-23.025850929940457
1,228,389,-23.025850929940457
1,229,953,-23.025850929940457
1,230,807,-23.025850929940457
1,231,656,-23.025850929940457
1,232,411,-23.025850929940457
1,233,376,-23.025850929940457
1,234,702,-23.025850929940457
1,235,22,-23.025850929940457
1,236,599,-23.025850929940457
1,237,712,-23.025850929940457
1,238,718,-23.025850929940457
1,239,48,-23.025850929940457
1,240,884,-23.025850929940457
1,241,889,-23.025850929940457
1,242,239,-23.025850929940457
1,243,290,-23.025850929940457
1,244,679,-23.025850929940457
1,245,891,-23.025850929940457
1,246,691,-23.025850929940457
1,247,883,-23.025850929940457
1,248,993,-23.025850929940457
1,249,97,-23.025850929940457
1,250,298,-23.025850929940457
1,251,597,-23.025850929940457
1,252,307,-23.025850929940457
1,253,830,-23.025850929940457
1,254,306,-23.025850929940457
1,255,985,-23.025850929940457
1,256,498,-23.025850929940457
1,257,478,-23.025850929940457
1,258,814,-23.025850929940457
1,259,153,-23.025850929940457
1,260,670,-23.025850929940457
1,261,66,-23.025850929940457
1,262,762,-23.025850929940457
1,263,49,-23.025850929940457
1,264,978,-23.025850929940457
1,265,761,-23.025850929940457
1,266,842,-23.025850929940457
1,267,120,-23.025850929940457
1,268,111,-23.025850929940457
1,269,558,-23.025850929940457
1,270,94,-23.025850929940457
1,271,423,-23.025850929940457
1,272,852,-23.025850929940457
1,273,709,-23.025850929940457
1,274,57,-23.025850929940457
1,275,548,-23.025850929940457
1,276,193,-23.025850929940457
1,277,676,-23.025850929940457
1,278,801,-23.025850929940457
1,279,749,-23.025850929940457
1,280,586,-23.025850929940457
1,281,537,-23.025850929940457
1,282,739,-23.025850929940457
1,283,848,-23.025850929940457
1,284,7,-23.025850929940457
1,285,62,-23.025850929940457
1,286,324,-23.025850929940457
1,287,265,-23.025850929940457
1,288,278,-23.025850929940457
1,289,568,-23.025850929940457
1,290,257,-23.025850929940457
1,291,690,-23.025850929940457
1,292,436,-23.025850929940457
1,293,113,-23.025850929940457
1,294,271,-23.025850929940457
1,295,923,-23.025850929940457
1,296,105,-23.025850929940457
1,297,1026,-23.025850929940457
1,298,689,-23.025850929940457
1,299,226,-23.025850929940457
1,300,71,-23.025850929940457
1,301,579,-23.025850929940457
1,302,554,-23.025850929940457
1,303,680,-23.025850929940457
1,304,524,-23.025850929940457
1,305,84,-23.025850929940457
1,306,902,-23.025850929940457
1,307,562,-23.025850929940457
1,308,465,-23.025850929940457
1,309,230,-23.025850929940457
1,310,525,-23.025850929940457
1,311,33,-23.025850929940457
1,312,438,-23.025850929940457
1,313,240,-23.025850929940457
1,314,198,-23.025850929940457
1,315,238,-23.025850929940457
1,316,34,-23.025850929940457
1,317,254,-23.025850929940457
1,318,897,-23.025850929940457
1,319,329,-23.025850929940457
1,320,251,-23.025850929940457
1,321,316,-23.025850929940457
1,322,789,-23.025850929940457
1,323,427,-23.025850929940457
1,324,963,-23.025850929940457
1,325,571,-23.025850929940457
1,326,47,-23.025850929940457
1,327,904,-23.025850929940457
1,328,983,-23.025850929940457
1,329,954,-23.025850929940457
1,330,304,-23.025850929940457
1,331,487,-23.025850929940457
1,332,639,-23.025850929940457
1,333,1032,-23.025850929940457
1,334,32,-23.025850929940457
1,335,85,-23.025850929940457
1,336,895,-23.025850929940457
1,337,837,-23.025850929940457
1,338,1010,-23.025850929940457
1,339,737,-23.025850929940457
1,340,901,-23.025850929940457
1,341,26,-23.025850929940457
1,342,353,-23.025850929940457
1,343,552,-23.025850929940457
1,344,371,-23.025850929940457
1,345,284,-23.025850929940457
1,346,945,-23.025850929940457
1,347,23,-23.025850929940457
1,348,303,-23.025850929940457
1,349,839,-23.025850929940457
1,350,495,-23.025850929940457
1,351,331,-23.025850929940457
1,352,328,-23.025850929940457
1,353,1013,-23.025850929940457
1,354,364,-23.025850929940457
1,355,159,-23.025850929940457
1,356,588,-23.025850929940457
1,357,317,-23.025850929940457
1,358,202,-23.025850929940457
1,359,672,-23.025850929940457
1,360,611,-23.025850929940457
1,361,703,-23.025850929940457
1,362,561,-23.025850929940457
1,363,722,-23.025850929940457
1,364,834,-23.025850929940457
1,365,347,-23.025850929940457
1,366,836,-23.025850929940457
1,367,845,-23.025850929940457
1,368,272,-23.025850929940457
1,369,59,-23.025850929940457
1,370,128,-23.025850929940457
1,371,966,-23.025850929940457
1,372,867,-23.025850929940457
1,373,678,-23.025850929940457
1,374,1030,-23.025850929940457
1,375,992,-23.025850929940457
1,376,544,-23.025850929940457
1,377,494,-23.025850929940457
1,378,428,-23.025850929940457
1,379,707,-23.025850929940457
1,380,1033,-23.025850929940457
1,381,320,-23.025850929940457
1,382,937,-23.025850929940457
1,383,447,-23.025850929940457
1,384,675,-23.025850929940457
1,385,435,-23.025850929940457
1,386,210,-23.025850929940457
1,387,932,-23.025850929940457
1,388,821,-23.025850929940457
1,389,942,-23.025850929940457
1,390,237,-23.025850929940457
1,391,493,-23.025850929940457
1,392,550,-23.025850929940457
1,393,828,-23.025850929940457
1,394,903,-23.025850929940457
1,395,898,-23.025850929940457
1,396,609,-23.025850929940457
1,397,377,-23.025850929940457
1,398,310,-23.025850929940457
1,399,269,-23.025850929940457
1,400,343,-23.025850929940457
1,401,538,-23.025850929940457
1,402,824,-23.025850929940457
1,403,669,-23.025850929940457
1,404,103,-23.025850929940457
1,405,988,-23.025850929940457
1,406,136,-23.025850929940457
1,407,280,-23.025850929940457
1,408,530,-23.025850929940457
1,409,781,-23.025850929940457
1,410,929,-23.025850929940457
1,411,607,-23.025850929940457
1,412,808,-23.025850929940457
1,413,391,-23.025850929940457
1,414,866,-23.025850929940457
1,415,914,-23.025850929940457
1,416,235,-23.025850929940457
1,417,452,-23.025850929940457
1,418,735,-23.025850929940457
1,419,823,-23.025850929940457
1,420,829,-23.025850929940457
1,421,223,-23.025850929940457
1,422,91,-23.025850929940457
1,423,556,-23.025850929940457
1,424,979,-23.025850929940457
1,425,407,-23.025850929940457
1,426,776,-23.025850929940457
1,427,1011,-23.025850929940457
1,428,197,-23.025850929940457
1,429,649,-23.025850929940457
1,430,56,-23.025850929940457
1,431,764,-23.025850929940457
1,432,449,-23.025850929940457
1,433,225,-23.025850929940457
1,434,551,-23.025850929940457
1,435,16,-23.025850929940457
1,436,296,-23.025850929940457
1,437,973,-23.025850929940457
1,438,39,-23.025850929940457
1,439,519,-23.025850929940457
1,440,817,-23.025850929940457
1,441,788,-23.025850929940457
1,442,46,-23.025850929940457
1,443,25,-23.025850929940457
1,444,450,-23.025850929940457
1,445,425,-23.025850929940457
1,446,791,-23.025850929940457
1,447,126,-23.025850929940457
1,448,409,-23.025850929940457
1,449,736,-23.025850929940457
1,450,747,-23.025850929940457
1,451,534,-23.025850929940457
1,452,17,-23.025850929940457
1,453,412,-23.025850929940457
1,454,233,-23.025850929940457
1,455,714,-23.025850929940457
1,456,890,-23.025850929940457
1,457,123,-23.025850929940457
1,458,344,-23.025850929940457
1,459,728,-23.025850929940457
1,460,116,-23.025850929940457
1,461,101,-23.025850929940457
1,462,613,-23.025850929940457
1,463,881,-23.025850929940457
1,464,150,-23.025850929940457
1,465,982,-23.025850929940457
1,466,694,-23.025850929940457
1,467,671,-23.025850929940457
1,468,941,-23.025850929940457
1,469,135,-23.025850929940457
1,470,1018,-23.025850929940457
1,471,621,-23.025850929940457
1,472,936,-23.025850929940457
1,473,453,-23.025850929940457
1,474,467,-23.025850929940457
1,475,339,-23.025850929940457
1,476,10,-23.025850929940457
1,477,451,-23.025850929940457
1,478,779,-23.025850929940457
1,479,399,-23.025850929940457
1,480,766,-23.025850929940457
1,481,1021,-23.025850929940457
1,482,318,-23.025850929940457
1,483,323,-23.025850929940457
1,484,2,-23.025850929940457
1,485,308,-23.025850929940457
1,486,893,-23.025850929940457
1,487,444,-23.025850929940457
1,488,605,-23.025850929940457
1,489,397,-23.025850929940457
1,490,851,-23.025850929940457
1,491,854,-23.025850929940457
1,492,563,-23.025850929940457
1,493,294,-23.025850929940457
1,494,971,-23.025850929940457
1,495,1005,-23.025850929940457
1,496,490,-23.025850929940457
1,497,786,-23.025850929940457
1,498,796,-23.025850929940457
1,499,614,-23.025850929940457
1,500,864,-23.025850929940457
1,501,388,-23.025850929940457
1,502,380,-23.025850929940457
1,503,244,-23.025850929940457
1,504,832,-23.025850929940457
1,505,102,-23.025850929940457
1,506,350,-23.025850929940457
1,507,673,-23.025850929940457
1,508,357,-23.025850929940457
1,509,61,-23.025850929940457
1,510,682,-23.025850929940457
1,511,928,-23.025850929940457
1,512,243,-23.025850929940457
1,513,461,-23.025850929940457
1,514,247,-23.025850929940457
1,515,1015,-23.025850929940457
1,516,276,-23.025850929940457
