<Term> <Document> <Freq> <Weight>
0 doc_138 1 0.634560
0 doc_169 1 0.846080
0 doc_346 2 0.423040
0-15 doc_188 1 0.502420
0.001 doc_128 1 0.502420
0.003 doc_516 1 0.904637
0.003 doc_881 1 0.271391
0.004 doc_860 1 0.753630
0.005 doc_500 1 0.430646
0.0062% doc_941 1 0.430646
0.01% doc_348 1 0.502420
0.01-0.15 doc_390 1 0.430646
0.01-25 doc_168 1 0.502420
0.011 doc_712 1 0.251210
0.016 doc_712 1 0.251210
0.019 doc_881 1 0.301452
0.02 doc_168 1 0.423040
0.02 doc_344 1 0.634560
0.02 doc_401 1 0.253824
0.021 doc_516 1 1.004840
0.0225 doc_569 1 0.301452
0.026 doc_569 1 0.301452
0.029 doc_515 1 1.004840
0.03 doc_142 1 0.634560
0.03 doc_168 1 0.423040
0.03 doc_341 1 0.362606
0.039 doc_515 1 1.004840
0.04 doc_653 1 1.004840
0.0432 doc_305 1 0.334947
0.05 doc_579 1 0.362606
0.05 doc_985 1 0.362606
0.05 doc_987 1 0.141013
0.051 doc_515 1 1.004840
0.056% doc_941 1 0.430646
0.088% doc_941 1 0.430646
0.1 doc_1031 1 0.362606
0.1 doc_137 1 0.120869
0.1 doc_597 2 0.423040
0.1% doc_337 1 1.004840
0.1-1.0 doc_346 1 0.251210
0.10 doc_41 1 0.215323
0.11% doc_941 1 0.430646
0.12 doc_733 1 0.274047
0.13 doc_118 1 0.231886
0.14 doc_694 1 0.334947
0.15 doc_708 1 0.334947
0.2 doc_271 1 0.423040
0.2 doc_502 1 0.253824
0.2 doc_80 1 0.126912
0.2% doc_440 1 0.502420
0.20 doc_712 1 0.251210
0.24 doc_712 1 0.251210
0.25 doc_588 1 0.362606
0.25 doc_708 1 0.282027
0.25 doc_855 1 0.634560
0.26% doc_569 1 0.301452
0.27 doc_570 1 0.301452
0.3 doc_712 1 0.251210
0.3-0.4 doc_168 1 0.502420
0.3-0.6 doc_168 1 0.502420
0.30% doc_941 1 0.430646
0.324 doc_515 1 1.004840
0.39 doc_881 1 0.301452
0.4 doc_14 1 0.542782
0.4 doc_41 1 0.193851
0.44 doc_118 1 0.231886
0.45 doc_385 1 0.301452
0.48 doc_733 1 0.274047
0.5 doc_390 1 0.310276
0.5 doc_435 1 0.197449
0.5 doc_440 1 0.361989
0.5 doc_46 1 0.542984
0.5 doc_591 1 0.542984
0.5 doc_80 1 0.108597
0.5 doc_913 1 0.310276
0.5-2.2 doc_393 1 0.502420
0.5-3.0 doc_586 1 0.301452
0.52 doc_881 1 0.301452
0.57 doc_881 1 0.301452
0.59% doc_941 1 0.430646
0.6 doc_733 1 0.274047
0.6% doc_569 1 0.301452
0.60 doc_341 1 0.430646
0.65 doc_385 1 0.301452
0.67-0.02% doc_569 1 0.301452
0.7 doc_700 1 0.274047
0.8 doc_41 1 0.193851
0.8 doc_440 1 0.452318
0.8-30.0 doc_310 1 0.177325
0.80 doc_121 1 0.502420
0.894 doc_310 1 0.177325
0.9 doc_165 1 0.268191
0.9 doc_181 1 0.603430
0.9 doc_183 1 0.268191
0.9 doc_80 1 0.120686
0.997 doc_310 1 0.177325
00 doc_348 1 0.502420
000 doc_606 1 1.507260
016 doc_150 1 0.376815
06 doc_150 1 0.376815
1 doc_1004 1 0.078993
1 doc_1008 3 0.197483
1 doc_1009 2 0.157987
1 doc_1012 1 0.197483
1 doc_1013 1 0.065828
1 doc_1015 1 0.157987
1 doc_1016 2 0.225695
1 doc_1017 2 0.175541
1 doc_1031 1 0.112848
1 doc_104 1 0.087770
1 doc_107 3 0.197483
1 doc_11 1 0.197483
1 doc_112 1 0.098742
1 doc_113 2 0.121528
1 doc_117 1 0.157987
1 doc_120 1 0.131656
1 doc_122 1 0.098742
1 doc_126 1 0.098742
1 doc_136 1 0.197483
1 doc_137 2 0.075232
1 doc_138 2 0.394967
1 doc_146 1 0.197483
1 doc_148 1 0.065828
1 doc_15 1 0.098742
1 doc_150 1 0.098742
1 doc_152 2 0.175541
1 doc_158 1 0.098742
1 doc_159 1 0.087770
1 doc_16 1 0.157987
1 doc_165 1 0.087770
1 doc_173 2 0.394967
1 doc_174 4 0.451390
1 doc_183 1 0.087770
1 doc_196 4 0.225695
1 doc_197 2 0.143624
1 doc_2 1 0.065828
1 doc_20 1 0.263311
1 doc_200 1 0.087770
1 doc_207 1 0.065828
1 doc_208 1 0.098742
1 doc_212 1 0.087770
1 doc_222 1 0.197483
1 doc_224 1 0.394967
1 doc_226 1 0.394967
1 doc_243 2 0.143624
1 doc_244 1 0.078993
1 doc_252 1 0.131656
1 doc_255 1 0.087770
1 doc_259 2 0.092933
1 doc_270 1 0.157987
1 doc_271 1 0.131656
1 doc_273 1 0.197483
1 doc_274 1 0.112848
1 doc_288 1 0.131656
1 doc_29 2 0.175541
1 doc_292 1 0.087770
1 doc_293 2 0.157987
1 doc_294 1 0.197483
1 doc_297 1 0.157987
1 doc_3 1 0.157987
1 doc_300 1 0.131656
1 doc_301 1 0.131656
1 doc_305 1 0.087770
1 doc_32 1 0.112848
1 doc_324 2 0.143624
1 doc_325 3 0.592450
1 doc_327 2 0.394967
1 doc_332 1 0.078993
1 doc_340 1 0.197483
1 doc_341 1 0.112848
1 doc_343 2 0.263311
1 doc_344 1 0.197483
1 doc_347 1 0.071812
1 doc_348 1 0.131656
1 doc_364 1 0.078993
1 doc_368 4 0.315973
1 doc_370 1 0.197483
1 doc_375 2 0.394967
1 doc_377 1 0.157987
1 doc_380 1 0.087770
1 doc_385 2 0.157987
1 doc_39 1 0.197483
1 doc_390 4 0.451390
1 doc_397 1 0.112848
1 doc_4 1 0.197483
1 doc_412 1 0.197483
1 doc_418 1 0.087770
1 doc_428 5 0.438852
1 doc_430 1 0.087770
1 doc_432 1 0.112848
1 doc_439 1 0.131656
1 doc_44 1 0.197483
1 doc_445 1 0.131656
1 doc_466 1 0.157987
1 doc_469 2 0.315973
1 doc_478 2 0.263311
1 doc_480 1 0.060764
1 doc_482 3 0.394967
1 doc_485 1 0.056424
1 doc_486 1 0.197483
1 doc_487 2 0.526622
1 doc_492 2 0.394967
1 doc_494 2 0.394967
1 doc_495 1 0.112848
1 doc_499 1 0.032914
1 doc_503 1 0.131656
1 doc_51 1 0.263311
1 doc_510 1 0.157987
1 doc_517 1 0.112848
1 doc_524 1 0.197483
1 doc_525 1 0.197483
1 doc_530 2 0.315973
1 doc_533 1 0.071812
1 doc_534 1 0.157987
1 doc_535 1 0.157987
1 doc_536 3 0.236980
1 doc_538 1 0.131656
1 doc_542 1 0.065828
1 doc_551 1 0.098742
1 doc_558 1 0.197483
1 doc_560 1 0.197483
1 doc_561 1 0.112848
1 doc_562 1 0.112848
1 doc_570 2 0.157987
1 doc_573 4 0.351081
1 doc_576 4 0.526622
1 doc_578 1 0.157987
1 doc_579 1 0.112848
1 doc_585 1 0.131656
1 doc_587 1 0.263311
1 doc_594 5 0.493708
1 doc_611 1 0.157987
1 doc_612 1 0.112848
1 doc_614 1 0.112848
1 doc_630 1 0.157987
1 doc_633 2 0.075232
1 doc_635 3 0.789933
1 doc_637 2 0.092933
1 doc_638 1 0.197483
1 doc_640 2 0.197483
1 doc_652 4 0.451390
1 doc_658 1 0.157987
1 doc_659 1 0.197483
1 doc_663 1 0.197483
1 doc_686 1 0.078993
1 doc_687 1 0.131656
1 doc_692 1 0.197483
1 doc_697 1 0.131656
1 doc_70 1 0.131656
1 doc_700 1 0.071812
1 doc_709 1 0.197483
1 doc_71 1 0.131656
1 doc_713 2 0.315973
1 doc_715 1 0.065828
1 doc_719 1 0.112848
1 doc_721 1 0.157987
1 doc_735 1 0.263311
1 doc_740 1 0.131656
1 doc_742 2 0.526622
1 doc_746 1 0.157987
1 doc_75 1 0.112848
1 doc_752 1 0.263311
1 doc_753 1 0.197483
1 doc_762 1 0.157987
1 doc_781 1 0.197483
1 doc_785 1 0.197483
1 doc_80 2 0.078993
1 doc_825 1 0.263311
1 doc_83 1 0.157987
1 doc_830 1 0.263311
1 doc_835 1 0.197483
1 doc_84 1 0.098742
1 doc_861 1 0.157987
1 doc_862 2 0.121528
1 doc_868 1 0.112848
1 doc_879 2 0.526622
1 doc_880 1 0.131656
1 doc_888 1 0.131656
1 doc_893 1 0.131656
1 doc_895 3 0.394967
1 doc_898 1 0.131656
1 doc_910 2 0.263311
1 doc_913 1 0.112848
1 doc_918 3 0.296225
1 doc_919 1 0.157987
1 doc_944 1 0.394967
1 doc_948 1 0.263311
1 doc_950 2 0.197483
1 doc_957 1 0.098742
1 doc_959 1 0.071812
1 doc_965 1 0.157987
1 doc_973 1 0.197483
1 doc_982 2 0.789933
1 doc_983 4 0.394967
1 doc_985 1 0.112848
1 doc_987 1 0.043885
